103125102689,买一层得两层 房东诚心出售 地铁1。5号线交通方便,https://hz.lianjia.com/ershoufang/103125102689.html,中国铁建江南国际城 ,萧山新城区,39105元/平,470万,6室2厅 | 120.19平米 | 南 | 简装 | 34层  | 板塔结合,2024-08-04 11:21:29
103134314926,法式精装，东边套，价格低，诚心卖,https://hz.lianjia.com/ershoufang/103134314926.html,星翠澜庭 ,钱江世纪城,55171元/平,700万,4室2厅 | 126.88平米 | 东 南 | 精装 | 25层  | 板楼,2024-08-04 11:21:29
103133543918,望涛月明 滨江品质 精装修全明户型 业主诚售,https://hz.lianjia.com/ershoufang/103133543918.html,滨江望涛月明 ,萧山新城区,30525元/平,330万,3室2厅 | 108.11平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-04 11:21:29
103131693465,招商开发 央企品质 市北地铁盘 业主诚售,https://hz.lianjia.com/ershoufang/103131693465.html,招商蛇口花屿观澜里 ,萧山新城区,38844元/平,399万,3室2厅 | 102.72平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2024-08-04 11:21:29
103133029406,房东诚心出售   价格可以谈的  小区环境好  视野开阔,https://hz.lianjia.com/ershoufang/103133029406.html,悦风荷锦庭 ,义桥,16946元/平,162万,3室2厅 | 95.6平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103134360517,精装修交付，双地铁口，客厅带阳台，带车位诚心出售,https://hz.lianjia.com/ershoufang/103134360517.html,阳光城上府 ,西兴,35299元/平,315万,3室2厅 | 89.24平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2024-08-04 11:21:29
103132723547,精装修7号线新街站，朝南有阳台高楼层采光好，诚心卖,https://hz.lianjia.com/ershoufang/103132723547.html,永和之星 ,萧山开发区,12170元/平,46万,1室2厅 | 37.8平米 | 南 | 精装 | 18层  | 塔楼,2024-08-04 11:21:29
103124297073,纯地铁口  精装修 全天采光 无遮挡三开间朝南,https://hz.lianjia.com/ershoufang/103124297073.html,博印名邸 ,萧山开发区,24776元/平,215万,3室2厅 | 86.78平米 | 南 | 精装 | 27层  | 板楼,2024-08-04 11:21:29
103134733771,五号地铁口，万科全新精装，楼层好、采光好、诚心出售,https://hz.lianjia.com/ershoufang/103134733771.html,虹云之城 ,萧山开发区,25245元/平,248万,3室2厅 | 98.24平米 | 南 | 精装 | 16层  | 板楼,2024-08-04 11:21:29
103134458971,满两年次新小区 带孩子方便都在小区旁看房方便自住,https://hz.lianjia.com/ershoufang/103134458971.html,宸宇府 ,南部卧城,26229元/平,269万,3室1厅 | 102.56平米 | 南 | 精装 | 32层  | 板楼,2024-08-04 11:21:29
103131817178,三开间朝南，自住精装修，高楼层江景房,https://hz.lianjia.com/ershoufang/103131817178.html,戈雅公寓 ,闻堰,18053元/平,198万,3室2厅 | 109.68平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,2024-08-04 11:21:29
103133190758,房东诚心出售   看房方便   价格还可以谈的,https://hz.lianjia.com/ershoufang/103133190758.html,悦风荷锦庭 ,义桥,17596元/平,168万,3室2厅 | 95.48平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103128432894,满五唯一，多层洋房，视野好，房东急售,https://hz.lianjia.com/ershoufang/103128432894.html,华瑞湘湖美地 ,湘湖,23799元/平,300万,3室2厅 | 126.06平米 | 南 | 简装 | 7层  | 板楼,2024-08-04 11:21:29
103125441671,精装修，满二唯一，无遮挡采光不错,https://hz.lianjia.com/ershoufang/103125441671.html,创世邸 ,钱江世纪城,67940元/平,605万,3室2厅 | 89.05平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-04 11:21:29
103134745823,建设三路双地铁口，户型好 业主诚心卖，,https://hz.lianjia.com/ershoufang/103134745823.html,中誉万豪广场 ,萧山新城区,10515元/平,110万,2室1厅 | 104.62平米 | 南 | 简装 | 28层  | 板楼,2024-08-04 11:21:29
103133854472,市北西德信君宸自住精装三房好楼层夹边套,https://hz.lianjia.com/ershoufang/103133854472.html,德信君宸 ,萧山新城区,36104元/平,295万,3室1厅 | 81.71平米 | 南 | 精装 | 23层  | 板楼,2024-08-04 11:21:29
103128698501,世纪城 万科精装 满五 采光无影响 三开间朝南,https://hz.lianjia.com/ershoufang/103128698501.html,世纪之光 ,钱江世纪城,39429元/平,320万,3室2厅 | 81.16平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
103133943558,满五唯一，近地铁，业主诚售，电梯房小户型,https://hz.lianjia.com/ershoufang/103133943558.html,中誉现代城 ,萧山新城区,21460元/平,100万,1室1厅 | 46.6平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,2024-08-04 11:21:29
103120918491,五房开发商精装修，一梯两户，未入住，有车位两个。,https://hz.lianjia.com/ershoufang/103120918491.html,滨江江南之星 ,萧山新城区,58270元/平,810万,5室2厅 | 139.01平米 | 南 | 精装 | 11层  | 板楼,2024-08-04 11:21:29
103130207581,萧山市区少有的排屋，次新刚交付的小区带露台环境好,https://hz.lianjia.com/ershoufang/103130207581.html,中天云望 ,萧山市区,56444元/平,950万,4室1厅 | 168.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2024-08-04 11:21:29
103125441671,精装修，满二唯一，无遮挡采光不错,https://hz.lianjia.com/ershoufang/103125441671.html,创世邸 ,钱江世纪城,67940元/平,605万,3室2厅 | 89.05平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-04 11:21:29
103123861234,浙二医院旁，精装交付，次新小区，房东诚心,https://hz.lianjia.com/ershoufang/103123861234.html,佳印府 ,南部卧城,26677元/平,325万,4室2厅 | 121.83平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2024-08-04 11:21:29
103131817178,三开间朝南，自住精装修，高楼层江景房,https://hz.lianjia.com/ershoufang/103131817178.html,戈雅公寓 ,闻堰,18053元/平,198万,3室2厅 | 109.68平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,2024-08-04 11:21:29
103133190758,房东诚心出售   看房方便   价格还可以谈的,https://hz.lianjia.com/ershoufang/103133190758.html,悦风荷锦庭 ,义桥,17596元/平,168万,3室2厅 | 95.48平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103120918491,五房开发商精装修，一梯两户，未入住，有车位两个。,https://hz.lianjia.com/ershoufang/103120918491.html,滨江江南之星 ,萧山新城区,58270元/平,810万,5室2厅 | 139.01平米 | 南 | 精装 | 11层  | 板楼,2024-08-04 11:21:29
103130207581,萧山市区少有的排屋，次新刚交付的小区带露台环境好,https://hz.lianjia.com/ershoufang/103130207581.html,中天云望 ,萧山市区,56444元/平,950万,4室1厅 | 168.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2024-08-04 11:21:29
103133029406,房东诚心出售   价格可以谈的  小区环境好  视野开阔,https://hz.lianjia.com/ershoufang/103133029406.html,悦风荷锦庭 ,义桥,16946元/平,162万,3室2厅 | 95.6平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103132723547,精装修7号线新街站，朝南有阳台高楼层采光好，诚心卖,https://hz.lianjia.com/ershoufang/103132723547.html,永和之星 ,萧山开发区,12170元/平,46万,1室2厅 | 37.8平米 | 南 | 精装 | 18层  | 塔楼,2024-08-04 11:21:29
103128698501,世纪城 万科精装 满五 采光无影响 三开间朝南,https://hz.lianjia.com/ershoufang/103128698501.html,世纪之光 ,钱江世纪城,39429元/平,320万,3室2厅 | 81.16平米 | 南 | 精装 | 17层  | 板楼,2024-08-04 11:21:29
103133854472,市北西德信君宸自住精装三房好楼层夹边套,https://hz.lianjia.com/ershoufang/103133854472.html,德信君宸 ,萧山新城区,36104元/平,295万,3室1厅 | 81.71平米 | 南 | 精装 | 23层  | 板楼,2024-08-04 11:21:29
103131723238,视野开阔 楼层佳 位置好 看房方便 业主诚心出售,https://hz.lianjia.com/ershoufang/103131723238.html,悦风荷锦庭 ,义桥,18202元/平,170万,3室2厅 | 93.4平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-04 11:21:29
103119939089,银泰旁，边套户型，精装修，拎包入住。,https://hz.lianjia.com/ershoufang/103119939089.html,星南站 ,南部卧城,14875元/平,52万,2室1厅 | 34.96平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,2024-08-04 11:21:29
103133713432,博奥城 地铁500米 自住精装 边套大五房 拎包入住,https://hz.lianjia.com/ershoufang/103133713432.html,德圣博奥城 ,萧山新城区,40824元/平,545万,5室1厅 | 133.5平米 | 南 | 精装 | 24层  | 板楼,2024-08-04 11:21:29
103134068179,低总价的精装修小两房，诚心出售,https://hz.lianjia.com/ershoufang/103134068179.html,阳光城上府 ,西兴,33932元/平,246万,2室1厅 | 72.5平米 | 南 | 精装 | 34层  | 板楼,2024-08-04 11:21:29
103133635166,浙二医院近，楼层好 满5唯一 带精装家具家电35万＋,https://hz.lianjia.com/ershoufang/103133635166.html,碧桂园天麓府 ,南部卧城,24787元/平,215万,3室2厅 | 86.74平米 | 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103134175700,金域东方园纯边套 精装修 家电家具齐全 拎包入住,https://hz.lianjia.com/ershoufang/103134175700.html,绿都金域东方 ,义桥,17763元/平,158万,3室2厅 | 88.95平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-04 11:21:29
103127069524,次新电梯房，配套成熟，精装修，可拎包住，满五唯一,https://hz.lianjia.com/ershoufang/103127069524.html,科尔南城嘉园 ,南部卧城,15466元/平,132万,3室1厅 | 85.35平米 | 南 | 精装 | 12层  | 板楼,2024-08-04 11:21:29
103134724265,一线湖景房  房东诚心出售 开发商精装交付 视野很好,https://hz.lianjia.com/ershoufang/103134724265.html,乐虹湾 ,湘湖,40390元/平,348万,3室2厅 | 86.16平米 | 南 | 精装 | 34层  | 板塔结合,2024-08-04 11:21:29
103125162840,萧山科技城机器人小镇旁有阳台天然气自用随时看房,https://hz.lianjia.com/ershoufang/103125162840.html,鸿兴城巧克力公馆 ,萧山开发区,10159元/平,85万,2室1厅 | 83.67平米 | 西南 | 精装 | 9层  | 塔楼,2024-08-04 11:21:29
103132425082,金色钱塘三期，精装修带地暖，保养好 可直接入住,https://hz.lianjia.com/ershoufang/103132425082.html,金色钱塘 ,萧山新城区,27894元/平,341万,4室2厅 | 122.25平米 | 南 | 精装 | 24层  | 板塔结合,2024-08-04 11:21:29
103119181894,新镇路 地铁口 满五唯一 边套 毛坯,https://hz.lianjia.com/ershoufang/103119181894.html,兴耀星悦湾 ,大江东,16008元/平,185万,3室2厅 | 115.57平米 | 南 | 毛坯 | 14层  | 板楼,2024-08-04 11:21:29
103128120003,奥体印象城旁  满二年  自住精装修  小区后排,https://hz.lianjia.com/ershoufang/103128120003.html,金昌春和钱塘 ,钱江世纪城,47086元/平,395万,3室1厅 | 83.89平米 | 南 | 精装 | 23层  | 板塔结合,2024-08-04 11:21:29
103131492539,诚心出售，近地铁，电梯房，两房朝南，阳光充足。,https://hz.lianjia.com/ershoufang/103131492539.html,广泽小区 ,南部卧城,17874元/平,133万,2室2厅 | 74.41平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,2024-08-04 11:21:29
103131419113,低总价，好楼层，业主诚心出售，看房方便,https://hz.lianjia.com/ershoufang/103131419113.html,新城璟隽公馆 ,萧山新城区,12776元/平,40万,1室1厅 | 31.31平米 | 东 | 精装 | 低楼层(共16层)  | 板楼,2024-08-04 11:21:29
103128639188,朝南高楼层小户型，诚心出售好房，户型方正。,https://hz.lianjia.com/ershoufang/103128639188.html,北干一苑 ,萧山市区,39092元/平,105万,1室1厅 | 26.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2024-08-04 11:21:29
103134475119,英冠乐创城 2室1厅 北,https://hz.lianjia.com/ershoufang/103134475119.html,英冠乐创城 ,萧山新城区,22317元/平,95万,2室1厅 | 42.57平米 | 北 | 精装 | 21层  | 板楼,2024-08-04 11:21:29
103131381448,好房推荐 振宁路地铁口 方正户型 满二 无大税,https://hz.lianjia.com/ershoufang/103131381448.html,丰东花苑 ,钱江世纪城,28765元/平,179万,2室1厅 | 62.23平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,2024-08-04 11:21:29
103122957199,浙二医院边 15号线地铁口 满二唯一 车位可以停两辆车,https://hz.lianjia.com/ershoufang/103122957199.html,德信碧桂园印江南 ,南部卧城,24784元/平,240万,3室2厅 | 96.84平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼,2024-08-04 11:21:29
103130471059,70年产权，此房近地铁，银河实验、北干,https://hz.lianjia.com/ershoufang/103130471059.html,中誉现代城 ,萧山新城区,18426元/平,99万,1室0厅 | 53.73平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,2024-08-04 11:21:29
103133883158,小高层电梯房 双金山 近地铁 配套齐全 不沿马路 诚售,https://hz.lianjia.com/ershoufang/103133883158.html,金浦明苑西区 ,萧山新城区,23708元/平,360万,3室2厅 | 151.85平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,2024-08-04 11:21:29
103131381448,好房推荐 振宁路地铁口 方正户型 满二 无大税,https://hz.lianjia.com/ershoufang/103131381448.html,丰东花苑 ,钱江世纪城,28765元/平,179万,2室1厅 | 62.23平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,2024-08-04 11:21:29
103129473321,采光视野好，不靠马路，诚信出搜,https://hz.lianjia.com/ershoufang/103129473321.html,花曜里 ,萧山新城区,38375元/平,372万,3室2厅 | 96.94平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,2024-08-04 11:21:29
103128454229,诚心卖一线江景 视野好 大小莲花尽收眼底,https://hz.lianjia.com/ershoufang/103128454229.html,保亿绿城奥邸国际 ,奥体,105493元/平,1965万,4室2厅 | 186.27平米 | 南 | 精装 | 中楼层(共48层)  | 板楼,2024-08-04 11:21:29
103132587135,江南之星正对泳池 满五税少 方便看房,https://hz.lianjia.com/ershoufang/103132587135.html,滨江江南之星 ,萧山新城区,38055元/平,338万,3室2厅 | 88.82平米 | 南 | 简装 | 34层  | 板楼,2024-08-04 11:21:29
103134753746,满二 全新未住人 采光好无遮挡 精装zhong央空调带地暖,https://hz.lianjia.com/ershoufang/103134753746.html,久赋名邸 ,南部卧城,32379元/平,320万,3室2厅 | 98.83平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,2024-08-04 11:21:29
103134311408,江景西边套，窗外景观美如宫崎骏或者毕加索的画,https://hz.lianjia.com/ershoufang/103134311408.html,日耀之城 ,钱江世纪城,62085元/平,1550万,4室2厅 | 249.66平米 | 南 | 精装 | 36层  | 板塔结合,2024-08-04 11:21:29
103134175700,金域东方园纯边套 精装修 家电家具齐全 拎包入住,https://hz.lianjia.com/ershoufang/103134175700.html,绿都金域东方 ,义桥,17763元/平,158万,3室2厅 | 88.95平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-04 11:21:29
103130974070,"2号线曹家桥站，楼层好，视野好，有电梯,满二年",https://hz.lianjia.com/ershoufang/103130974070.html,广悦公寓 ,南部卧城,18950元/平,238万,3室2厅 | 125.6平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-04 11:21:29
103131752773,2号线曹家桥1公里，楼层好视野好，自带幼儿园.满五年,https://hz.lianjia.com/ershoufang/103131752773.html,广泽小区 ,南部卧城,18158元/平,138万,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,2024-08-04 11:21:29
103133635166,浙二医院近，楼层好 满5唯一 带精装家具家电35万＋,https://hz.lianjia.com/ershoufang/103133635166.html,碧桂园天麓府 ,南部卧城,24787元/平,215万,3室2厅 | 86.74平米 | 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103134859688,户型好 采光好 电梯房  高桥初中,https://hz.lianjia.com/ershoufang/103134859688.html,绿都四季花城 ,南部卧城,22833元/平,380万,4室1厅 | 166.43平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-04 11:21:29
103128639188,朝南高楼层小户型，诚心出售好房，户型方正。,https://hz.lianjia.com/ershoufang/103128639188.html,北干一苑 ,萧山市区,39092元/平,105万,1室1厅 | 26.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2024-08-04 11:21:29
103134388045,自住两年装修 稀有跃层全明户型 看房方便 房东诚心售,https://hz.lianjia.com/ershoufang/103134388045.html,德信君宸 ,萧山新城区,42106元/平,372万,3室2厅 | 88.35平米 | 南 | 精装 | 18层  | 板楼,2024-08-04 11:21:29
103134270979,广泽小区 2室2厅 南,https://hz.lianjia.com/ershoufang/103134270979.html,广泽小区 ,南部卧城,17061元/平,130万,2室2厅 | 76.2平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,2024-08-04 11:21:29
103134567644,杭州7号地铁口 20米左右 交通方便 永乐梦旺城旁,https://hz.lianjia.com/ershoufang/103134567644.html,相贤府 ,大江东,31536元/平,549万,5室2厅 | 174.09平米 | 南 | 精装 | 高楼层(共9层)  | 塔楼,2024-08-04 11:21:29
103128120003,奥体印象城旁  满二年  自住精装修  小区后排,https://hz.lianjia.com/ershoufang/103128120003.html,金昌春和钱塘 ,钱江世纪城,47086元/平,395万,3室1厅 | 83.89平米 | 南 | 精装 | 23层  | 板塔结合,2024-08-04 11:21:29
103119181894,新镇路 地铁口 满五唯一 边套 毛坯,https://hz.lianjia.com/ershoufang/103119181894.html,兴耀星悦湾 ,大江东,16008元/平,185万,3室2厅 | 115.57平米 | 南 | 毛坯 | 14层  | 板楼,2024-08-04 11:21:29
103133949240,此房满五的 业主自住精装修 楼层高 无增值税,https://hz.lianjia.com/ershoufang/103133949240.html,三水一生 ,义桥,14376元/平,180万,3室2厅 | 125.21平米 | 南 北 | 精装 | 5层  | 板楼,2024-08-04 11:21:29
103123868722,东信莱茵园 电梯房 西边套 四房 房东诚心出售,https://hz.lianjia.com/ershoufang/103123868722.html,东信莱茵园 ,萧山新城区,19379元/平,340万,4室2厅 | 175.45平米 | 南 | 精装 | 21层  | 板楼,2024-08-04 11:21:29
103132425082,金色钱塘三期，精装修带地暖，保养好 可直接入住,https://hz.lianjia.com/ershoufang/103132425082.html,金色钱塘 ,萧山新城区,27894元/平,341万,4室2厅 | 122.25平米 | 南 | 精装 | 24层  | 板塔结合,2024-08-04 11:21:29
103119939089,银泰旁，边套户型，精装修，拎包入住。,https://hz.lianjia.com/ershoufang/103119939089.html,星南站 ,南部卧城,14875元/平,52万,2室1厅 | 34.96平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,2024-08-04 11:21:29
103134475119,英冠乐创城 2室1厅 北,https://hz.lianjia.com/ershoufang/103134475119.html,英冠乐创城 ,萧山新城区,22317元/平,95万,2室1厅 | 42.57平米 | 北 | 精装 | 21层  | 板楼,2024-08-04 11:21:29
103125162840,萧山科技城机器人小镇旁有阳台天然气自用随时看房,https://hz.lianjia.com/ershoufang/103125162840.html,鸿兴城巧克力公馆 ,萧山开发区,10159元/平,85万,2室1厅 | 83.67平米 | 西南 | 精装 | 9层  | 塔楼,2024-08-04 11:21:29
103133713432,博奥城 地铁500米 自住精装 边套大五房 拎包入住,https://hz.lianjia.com/ershoufang/103133713432.html,德圣博奥城 ,萧山新城区,40824元/平,545万,5室1厅 | 133.5平米 | 南 | 精装 | 24层  | 板楼,2024-08-04 11:21:29
103133381354,蜀山，广宁小区，76方，户型方正，中间楼层，满五唯一,https://hz.lianjia.com/ershoufang/103133381354.html,广宁小区 ,南部卧城,18975元/平,145万,2室2厅 | 76.42平米 | 南 | 精装 | 6层  | 平房,2024-08-04 11:21:29
103133980455,世纪城小洋房！楼层视野采光好 四方两厅全明格局户型,https://hz.lianjia.com/ershoufang/103133980455.html,翡翠江南华庭 ,钱江世纪城,41533元/平,530万,4室2厅 | 127.61平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-04 11:21:29
103134068179,低总价的精装修小两房，诚心出售,https://hz.lianjia.com/ershoufang/103134068179.html,阳光城上府 ,西兴,33932元/平,246万,2室1厅 | 72.5平米 | 南 | 精装 | 34层  | 板楼,2024-08-04 11:21:29
103131419113,低总价，好楼层，业主诚心出售，看房方便,https://hz.lianjia.com/ershoufang/103131419113.html,新城璟隽公馆 ,萧山新城区,12776元/平,40万,1室1厅 | 31.31平米 | 东 | 精装 | 低楼层(共16层)  | 板楼,2024-08-04 11:21:29
103131492539,诚心出售，近地铁，电梯房，两房朝南，阳光充足。,https://hz.lianjia.com/ershoufang/103131492539.html,广泽小区 ,南部卧城,17874元/平,133万,2室2厅 | 74.41平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,2024-08-04 11:21:29
103128390279,银泰城旁，双阳台，从未租住，边套，全天采光，精装修,https://hz.lianjia.com/ershoufang/103128390279.html,青漫里 ,南部卧城,22251元/平,228万,3室2厅 | 102.47平米 | 南 西 北 | 精装 | 低楼层(共26层)  | 塔楼,2024-08-04 11:21:29
103132968221,地铁口东边套户型好有电梯带地面大车库诚售随时看房,https://hz.lianjia.com/ershoufang/103132968221.html,恒泰御庭园 ,钱江世纪城,22967元/平,310万,3室2厅 | 134.98平米 | 南 | 简装 | 6层  | 板塔结合,2024-08-04 11:21:29
103129725284,西东边套大三房，带精装修，户型方正，楼层佳，采光好,https://hz.lianjia.com/ershoufang/103129725284.html,湘湖人家 ,闻堰,22307元/平,265万,3室2厅 | 118.8平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-04 11:21:29
103131743346,店长推荐 一号线南阳地铁  小三房 自住装修，满二,https://hz.lianjia.com/ershoufang/103131743346.html,大诚纪名府 ,大江东,20328元/平,180万,3室2厅 | 88.55平米 | 南 | 精装 | 14层  | 板塔结合,2024-08-04 11:21:29
103131271089,开发商精装交付，楼幢好，楼层好，诚心出售,https://hz.lianjia.com/ershoufang/103131271089.html,青漫里 ,南部卧城,25310元/平,235万,3室2厅 | 92.85平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,2024-08-04 11:21:29
103131409409,博印名邸 7号线地铁口 精装修三房，低总价，诚心卖,https://hz.lianjia.com/ershoufang/103131409409.html,博印名邸 ,萧山开发区,26420元/平,215万,3室2厅 | 81.38平米 | 南 | 精装 | 26层  | 板楼,2024-08-04 11:21:29
103130307977,带大露台，精装修大三房，舒适宜居带生活综合体,https://hz.lianjia.com/ershoufang/103130307977.html,顺发美颂城 ,钱江世纪城,30583元/平,305万,3室2厅 | 99.73平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-04 11:21:29
103133518206,好楼层，精装修，房东诚心出售。,https://hz.lianjia.com/ershoufang/103133518206.html,恒大帝景 ,南部卧城,24555元/平,208万,3室2厅 | 84.71平米 | 南 | 精装 | 30层  | 板楼,2024-08-04 11:21:29
103134342770,日耀之城     126方      四房两卫,https://hz.lianjia.com/ershoufang/103134342770.html,日耀之城 ,钱江世纪城,54417元/平,690万,4室2厅 | 126.8平米 | 南 | 精装 | 30层  | 板楼,2024-08-04 11:21:29
103133963790,市北品质小区 滨江双子 此房视野好位置安静  看房方便,https://hz.lianjia.com/ershoufang/103133963790.html,滨江望涛月明 ,萧山新城区,38367元/平,495万,4室2厅 | 129.02平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-04 11:21:29
103126805035,3开间朝南，高楼层，采光好，自住装修，拎包入住,https://hz.lianjia.com/ershoufang/103126805035.html,金昌春和钱塘 ,钱江世纪城,42192元/平,365万,3室2厅 | 86.51平米 | 南 | 精装 | 23层  | 板塔结合,2024-08-04 11:21:29
103131839615,云彩之城 4室2厅 南 西,https://hz.lianjia.com/ershoufang/103131839615.html,云彩之城 ,萧山开发区,21691元/平,299万,4室2厅 | 137.85平米 | 南 西 | 精装 | 中楼层(共18层)  | 板楼,2024-08-04 11:21:29
103132712512,视野好的 新交付小区 环境好 楼层好,https://hz.lianjia.com/ershoufang/103132712512.html,德信金科泊岸江宸轩 ,南部卧城,16934元/平,182万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-04 11:21:29
103134422068,万科开发，位置好，房子性 价比高，看房随时。,https://hz.lianjia.com/ershoufang/103134422068.html,日耀之城 ,钱江世纪城,55014元/平,790万,4室2厅 | 143.6平米 | 南 | 精装 | 30层  | 塔楼,2024-08-04 11:21:29
103134311408,江景西边套，窗外景观美如宫崎骏或者毕加索的画,https://hz.lianjia.com/ershoufang/103134311408.html,日耀之城 ,钱江世纪城,62085元/平,1550万,4室2厅 | 249.66平米 | 南 | 精装 | 36层  | 板塔结合,2024-08-04 11:21:29
103130974070,"2号线曹家桥站，楼层好，视野好，有电梯,满二年",https://hz.lianjia.com/ershoufang/103130974070.html,广悦公寓 ,南部卧城,18950元/平,238万,3室2厅 | 125.6平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-04 11:21:29
