近地铁 配套成熟 自住精装 中间楼层 业主置换诚售,https://hz.lianjia.com/ershoufang/103131846262.html,恒大帝景 ,南部卧城,26870元/平,368万,5室2厅 | 136.96平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
小区环境好， 总价低， 看房方便，有钥匙,https://hz.lianjia.com/ershoufang/103134166137.html,南润名座 ,南部卧城,10775元/平,38万,2室1厅 | 35.27平米 | 北 | 简装 | 高楼层(共22层)  | 板楼,2024-08-01 23:04:00
银泰旁 边套 好楼层 全新入住 软装齐全,https://hz.lianjia.com/ershoufang/103134832102.html,宸宇府 ,南部卧城,28888元/平,345万,4室1厅 | 119.43平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 23:04:00
丰瑞北苑 2室1厅 南,https://hz.lianjia.com/ershoufang/103133691480.html,丰瑞北苑 ,钱江世纪城,34483元/平,225万,2室1厅 | 65.25平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,2024-08-01 23:04:00
房子满二唯一 楼层适中 采光很好 房东诚心 看房方便,https://hz.lianjia.com/ershoufang/103129735923.html,创世邸 ,钱江世纪城,72234元/平,782万,3室2厅 | 108.26平米 | 南 | 精装 | 32层  | 板楼,2024-08-01 23:04:00
南向大横厅，全屋精装修，视野佳，业主诚售！,https://hz.lianjia.com/ershoufang/103134097296.html,日耀之城 ,钱江世纪城,60484元/平,870万,4室2厅 | 143.84平米 | 南 | 精装 | 24层  | 塔楼,2024-08-01 23:04:00
南润名座，低总价，楼层视野佳，诚心出售。,https://hz.lianjia.com/ershoufang/103133772151.html,南润名座 ,南部卧城,10599元/平,40万,1室1厅 | 37.74平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,2024-08-01 23:04:00
世纪城板块 总价低 业主诚心出售,https://hz.lianjia.com/ershoufang/103127925113.html,旭辉和昌都会山 ,钱江世纪城,22290元/平,125万,3室1厅 | 56.08平米 | 南 | 精装 | 21层  | 板塔结合,2024-08-01 23:04:00
满五唯一 夹边套 小区后排 实用80方 诚心出售,https://hz.lianjia.com/ershoufang/103129811290.html,金昌春和钱塘 ,钱江世纪城,47188元/平,406万,3室1厅 | 86.04平米 | 南 北 | 精装 | 23层  | 板塔结合,2024-08-01 23:04:00
标准三房 户型方正 出行便利，配套完善，地铁1公里,https://hz.lianjia.com/ershoufang/103130766361.html,久赋名邸 ,南部卧城,32600元/平,320万,3室2厅 | 98.16平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,2024-08-01 23:04:00
德圣博奥城，5房双卫99%得房率，精装修。,https://hz.lianjia.com/ershoufang/103134351718.html,德圣博奥城 ,萧山新城区,44038元/平,575万,5室2厅 | 130.57平米 | 南 西 北 | 精装 | 24层  | 板楼,2024-08-01 23:04:00
中间楼层，次新房，一梯两户7层低密小洋房 业主诚售,https://hz.lianjia.com/ershoufang/103132586085.html,钱江蓝湾 ,萧山科技城,22796元/平,198万,3室2厅 | 86.86平米 | 南 西 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,2024-08-01 23:04:00
万科开发商精装修，15号线地铁，满二年，没住过人,https://hz.lianjia.com/ershoufang/103125112932.html,碧珑湾 ,萧山新城区,43305元/平,510万,4室2厅 | 117.77平米 | 南 | 精装 | 18层  | 板塔结合,2024-08-01 23:04:00
西边套小洋房 视野开阔 无噪音 满五急售,https://hz.lianjia.com/ershoufang/103133548129.html,通惠江南名府 ,萧山新城区,35687元/平,416万,4室1厅 | 116.57平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-01 23:04:00
日耀之城 4室2厅 南,https://hz.lianjia.com/ershoufang/103133988021.html,日耀之城 ,钱江世纪城,55487元/平,799万,4室2厅 | 144平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
滨江品质小区 视野开拓满二唯一 业主诚心出售,https://hz.lianjia.com/ershoufang/103131020736.html,通惠江南名府 ,萧山新城区,34861元/平,312万,3室2厅 | 89.5平米 | 东 | 精装 | 中楼层(共27层)  | 板楼,2024-08-01 23:04:00
奥体板块精工之作，碧桂园开发，滨江物业，两梯两户,https://hz.lianjia.com/ershoufang/103125636477.html,柏峰珑悦府 ,钱江世纪城,45553元/平,548万,3室2厅 | 120.3平米 | 南 | 精装 | 18层  | 板楼,2024-08-01 23:04:00
精装大三房，纯边套，1号5号双地铁100米，中高无遮挡,https://hz.lianjia.com/ershoufang/103131492415.html,阳光城上府 ,西兴,37658元/平,335万,3室2厅 | 88.96平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2024-08-01 23:04:00
钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,26199元/平,258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
业主诚心卖，精装修现房，不朝高架，看房子有钥匙！,https://hz.lianjia.com/ershoufang/103127705531.html,景瑞晴海 ,钱江世纪城,27097元/平,265万,3室2厅 | 97.8平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
近奥体，临滨江，市北西品质小区，七号线地铁口,https://hz.lianjia.com/ershoufang/103125848641.html,景宸天玺名城 ,萧山新城区,43792元/平,510万,4室2厅 | 116.46平米 | 南 西 | 毛坯 | 34层  | 塔楼,2024-08-01 23:04:00
满五唯一 不沿街 自住精装 看房密码  诚心出售,https://hz.lianjia.com/ershoufang/103129192430.html,顺发江南丽锦 ,钱江世纪城,38550元/平,660万,5室2厅 | 171.21平米 | 南 北 | 精装 | 33层  | 板塔结合,2024-08-01 23:04:00
西边套小洋房 视野开阔 无噪音 满五急售,https://hz.lianjia.com/ershoufang/103133548129.html,通惠江南名府 ,萧山新城区,35687元/平,416万,4室1厅 | 116.57平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-01 23:04:00
奥体板块精工之作，碧桂园开发，滨江物业，两梯两户,https://hz.lianjia.com/ershoufang/103125636477.html,柏峰珑悦府 ,钱江世纪城,45553元/平,548万,3室2厅 | 120.3平米 | 南 | 精装 | 18层  | 板楼,2024-08-01 23:04:00
日耀之城 4室2厅 南,https://hz.lianjia.com/ershoufang/103133988021.html,日耀之城 ,钱江世纪城,55487元/平,799万,4室2厅 | 144平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
滨江品质小区 视野开拓满二唯一 业主诚心出售,https://hz.lianjia.com/ershoufang/103131020736.html,通惠江南名府 ,萧山新城区,34861元/平,312万,3室2厅 | 89.5平米 | 东 | 精装 | 中楼层(共27层)  | 板楼,2024-08-01 23:04:00
钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,26199元/平,258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
业主诚心卖，精装修现房，不朝高架，看房子有钥匙！,https://hz.lianjia.com/ershoufang/103127705531.html,景瑞晴海 ,钱江世纪城,27097元/平,265万,3室2厅 | 97.8平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
小户型，两层的，一层得两层，小区环境好，看房方便,https://hz.lianjia.com/ershoufang/103130433805.html,融创云潮府 ,萧山科技城,14958元/平,69万,2室1厅 | 46.13平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,2024-08-01 23:04:00
多层好楼层 诚心出售 看房方便,https://hz.lianjia.com/ershoufang/103131301639.html,华瑞湘湖美地 ,湘湖,22324元/平,285万,3室2厅 | 127.67平米 | 南 | 简装 | 7层  | 板楼,2024-08-01 23:04:00
精装修3房 滨江品质 楼层适中 视野开阔,https://hz.lianjia.com/ershoufang/103129953396.html,庆丰拥涛府 ,萧山新城区,45141元/平,438万,3室1厅 | 97.03平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-01 23:04:00
南临水博园，北临钱塘江，业主诚心出售,https://hz.lianjia.com/ershoufang/103134549662.html,科尔世纪外滩 ,萧山科技城,21383元/平,189万,3室1厅 | 88.39平米 | 南 | 毛坯 | 28层  | 板塔结合,2024-08-01 23:04:00
7号线新街站300米，精装修边套横厅大3房2卫，看房方便,https://hz.lianjia.com/ershoufang/103130696605.html,保利欣品华庭 ,萧山开发区,25277元/平,270万,3室2厅 | 106.82平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,2024-08-01 23:04:00
中间好楼层，采光视野好，无抵押，无户口，随时看房,https://hz.lianjia.com/ershoufang/103133939898.html,阳光城滨奥悦府 ,钱江世纪城,67743元/平,940万,4室2厅 | 138.76平米 | 南 北 | 精装 | 17层  | 板楼,2024-08-01 23:04:00
旭辉和昌都会山 4室2厅 南,https://hz.lianjia.com/ershoufang/103134191303.html,旭辉和昌都会山 ,钱江世纪城,61692元/平,730万,4室2厅 | 118.33平米 | 南 | 精装 | 29层  | 板楼,2024-08-01 23:04:00
房东诚心，朝南阳光视野很棒，有密码随时看房,https://hz.lianjia.com/ershoufang/103132992498.html,旭辉和昌都会山 ,钱江世纪城,28702元/平,88万,1室1厅 | 30.66平米 | 南 西南 | 精装 | 21层  | 塔楼,2024-08-01 23:04:00
精装小两居室，好楼层，采光好急售 满两年,https://hz.lianjia.com/ershoufang/103133790612.html,盛达名苑 ,萧山开发区,19887元/平,105万,2室1厅 | 52.8平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-01 23:04:00
房子户型正 三开间朝南 交通方便 刚需低首付,https://hz.lianjia.com/ershoufang/103132029587.html,金域兰庭 ,义桥,16327元/平,140万,2室2厅 | 85.75平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2024-08-01 23:04:00
钱江世纪城板块 振宁路地铁口 小洋房 得房率高 诚心卖,https://hz.lianjia.com/ershoufang/103132660595.html,顺丰家园 ,钱江世纪城,25907元/平,160万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-01 23:04:00
世纪城板块，中间楼层，税费低，不沿高架，业主诚售,https://hz.lianjia.com/ershoufang/103130747151.html,柏峰珑悦府 ,钱江世纪城,47045元/平,558万,3室2厅 | 118.61平米 | 南 北 | 精装 | 16层  | 板楼,2024-08-01 23:04:00
地铁约10几分，滨江物业滨江造，4房边套精装,https://hz.lianjia.com/ershoufang/103130144026.html,朝闻花城 ,南部卧城,29795元/平,327万,4室2厅 | 109.75平米 | 南 | 精装 | 27层  | 暂无数据,2024-08-01 23:04:00
次新小区 1楼带花园精装修 物业管理好 金科物业,https://hz.lianjia.com/ershoufang/103126886120.html,钱江蓝湾 ,萧山科技城,34206元/平,298万,3室2厅 | 87.12平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,2024-08-01 23:04:00
7号线地铁 全新精装修 业主置换 包增值税 随时看房,https://hz.lianjia.com/ershoufang/103129509164.html,保利和者时光印象府 ,萧山开发区,21952元/平,180万,3室2厅 | 82平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,2024-08-01 23:04:00
"2号线曹家桥站，楼层好，视野好，有电梯,满二年",https://hz.lianjia.com/ershoufang/103130974070.html,广悦公寓 ,南部卧城,18950元/平,238万,3室2厅 | 125.6平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-01 23:04:00
珑悦 四房 精工户型 优质好房,https://hz.lianjia.com/ershoufang/103130305593.html,柏峰珑悦府 ,钱江世纪城,50605元/平,720万,4室2厅 | 142.28平米 | 南 | 精装 | 18层  | 板楼,2024-08-01 23:04:00
自住精装，满五业主诚心售，滨江品质，带车位,https://hz.lianjia.com/ershoufang/103128624051.html,滨江金色江南公寓 ,钱江世纪城,48015元/平,428万,3室2厅 | 89.14平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 23:04:00
品文府 号楼幢  好户型 四开间朝南 房东诚心出售,https://hz.lianjia.com/ershoufang/103134037447.html,品文府 ,南部卧城,20210元/平,245万,3室2厅 | 121.23平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,2024-08-01 23:04:00
金地天逸品质小区 精装交付双地铁龙湖天街 业主诚心卖,https://hz.lianjia.com/ershoufang/103130358389.html,金地天逸 ,萧山市区,45026元/平,730万,4室2厅 | 162.13平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,2024-08-01 23:04:00
碧珑湾  万科品质  无增值税  采光视野好  诚心出售,https://hz.lianjia.com/ershoufang/103133082654.html,碧珑湾 ,萧山新城区,43071元/平,500万,4室2厅 | 116.09平米 | 东 南 北 | 精装 | 18层  | 板楼,2024-08-01 23:04:00
小区19幢开发商精装交付，业主诚心出售，满五无大税,https://hz.lianjia.com/ershoufang/103132242968.html,顺发恒园 ,萧山新城区,39619元/平,349万,3室2厅 | 88.09平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 23:04:00
精装修，位置好，楼层好，地铁口,https://hz.lianjia.com/ershoufang/103129586569.html,众安朝阳8号 ,南部卧城,28300元/平,253万,3室2厅 | 89.4平米 | 南 | 精装 | 33层  | 塔楼,2024-08-01 23:04:00
银泰旁次新小区 户型好 开发商精装 随时可看房 诚心卖,https://hz.lianjia.com/ershoufang/103134329127.html,融望之城 ,南部卧城,23163元/平,230万,3室2厅 | 99.3平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-01 23:04:00
银泰城旁，满二，精装修，拎包入住，双阳台，南北通透,https://hz.lianjia.com/ershoufang/103130946084.html,禹洲泊朗廷 ,南部卧城,24524元/平,288万,3室2厅 | 117.44平米 | 南 北 | 精装 | 33层  | 板楼,2024-08-01 23:04:00
招商闻博花城，满二，四叶草大平层，装修好。,https://hz.lianjia.com/ershoufang/103130889235.html,闻博花城 ,萧山新城区,42187元/平,639万,4室2厅 | 151.47平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-01 23:04:00
次新电梯房，配套成熟，精装修，可拎包住，满五唯一,https://hz.lianjia.com/ershoufang/103127069524.html,科尔南城嘉园 ,南部卧城,15466元/平,132万,3室1厅 | 85.35平米 | 南 | 精装 | 12层  | 板楼,2024-08-01 23:04:00
碧珑湾  万科品质  无增值税  采光视野好  诚心出售,https://hz.lianjia.com/ershoufang/103133082654.html,碧珑湾 ,萧山新城区,43071元/平,500万,4室2厅 | 116.09平米 | 东 南 北 | 精装 | 18层  | 板楼,2024-08-01 23:04:00
小区19幢开发商精装交付，业主诚心出售，满五无大税,https://hz.lianjia.com/ershoufang/103132242968.html,顺发恒园 ,萧山新城区,39619元/平,349万,3室2厅 | 88.09平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 23:04:00
"近滨江,房子全新没住过,适合当婚房,诚心出售价格可谈",https://hz.lianjia.com/ershoufang/103132805942.html,乐虹湾 ,湘湖,37171元/平,330万,3室2厅 | 88.78平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-01 23:04:00
诚心出售，近地铁，电梯房，两房朝南，阳光充足。,https://hz.lianjia.com/ershoufang/103131492539.html,广泽小区 ,南部卧城,17874元/平,133万,2室2厅 | 74.41平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,2024-08-01 23:04:00
精装修大三房，从未入住，98方可扩展28方，双地 铁旁,https://hz.lianjia.com/ershoufang/103132179788.html,金地天逸 ,萧山市区,38618元/平,380万,3室2厅 | 98.4平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,2024-08-01 23:04:00
次新小区，开发商精装修交房，未入住过，环境好,https://hz.lianjia.com/ershoufang/103121202909.html,宸宇府 ,南部卧城,22798元/平,235万,3室2厅 | 103.08平米 | 南 | 精装 | 33层  | 板塔结合,2024-08-01 23:04:00
精装60万，满五不唯一 拎包入住，看房方便,https://hz.lianjia.com/ershoufang/103123168129.html,华瑞湘湖美地 ,湘湖,24238元/平,305万,3室2厅 | 125.84平米 | 南 北 | 精装 | 7层  | 板楼,2024-08-01 23:04:00
建设三路双地铁口 开发商精装修 东边套 房东诚心卖,https://hz.lianjia.com/ershoufang/103129701086.html,新希望滨江锦宸 ,萧山新城区,43689元/平,560万,4室2厅 | 128.18平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,2024-08-01 23:04:00
亚运村新空未住精装4房东向大阳台  急售,https://hz.lianjia.com/ershoufang/103134244075.html,日耀之城 ,钱江世纪城,54875元/平,788万,4室2厅 | 143.6平米 | 南 | 精装 | 30层  | 塔楼,2024-08-01 23:04:00
中间楼层 视野好 采光好 诚心卖,https://hz.lianjia.com/ershoufang/103131281000.html,景宸天玺名城 ,萧山新城区,40328元/平,355万,3室2厅 | 88.03平米 | 南 | 毛坯 | 34层  | 板楼,2024-08-01 23:04:00
房东诚售 满二税费少 精装全新无入住 次新小区,https://hz.lianjia.com/ershoufang/103134293693.html,湖悦章府 ,南部卧城,27716元/平,270万,3室2厅 | 97.42平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 23:04:00
不靠高架，户型好，大阳台采光好，诚心出售，价格可谈,https://hz.lianjia.com/ershoufang/103129443959.html,湘湖人家 ,闻堰,17558元/平,155万,2室2厅 | 88.28平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-01 23:04:00
诚心卖房高楼层视野很赞含泪卖 随时看房,https://hz.lianjia.com/ershoufang/103126113665.html,金色钱塘 ,萧山新城区,26267元/平,338万,3室2厅 | 128.68平米 | 南 | 精装 | 31层  | 板塔结合,2024-08-01 23:04:00
自住精装修，飘窗已经全部敲掉，,https://hz.lianjia.com/ershoufang/103132189027.html,德信泊林春天 ,钱江世纪城,24571元/平,220万,3室2厅 | 89.54平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,2024-08-01 23:04:00
诚心售 满五唯一 位置佳 尽揽白马湖畔山水美景,https://hz.lianjia.com/ershoufang/103134398958.html,旭辉滨江东方悦府 ,湘湖,29549元/平,260万,3室2厅 | 87.99平米 | 南 | 精装 | 20层  | 板楼,2024-08-01 23:04:00
萧山南卧融望之城全新未入住看房方便,https://hz.lianjia.com/ershoufang/103134540095.html,融望之城 ,南部卧城,24880元/平,325万,4室2厅 | 130.63平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-01 23:04:00
钱江世纪城板块，崇文杭二中旁，开发商精装修。,https://hz.lianjia.com/ershoufang/103133853655.html,世纪之光 ,钱江世纪城,40661元/平,330万,3室1厅 | 81.16平米 | 南 | 精装 | 17层  | 板楼,2024-08-01 23:04:00
地铁二号线，银泰城，满五，拓展27方，南北通透采光好,https://hz.lianjia.com/ershoufang/103134593844.html,光明尚海湾 ,南部卧城,25032元/平,220万,3室2厅 | 87.89平米 | 南 西 北 | 简装 | 中楼层(共27层)  | 板塔结合,2024-08-01 23:04:00
世纪城板块  自住加装50W+ 楼层好  视野宽阔 采光充足,https://hz.lianjia.com/ershoufang/103132654636.html,世纪之光 ,钱江世纪城,48268元/平,606万,4室2厅 | 125.55平米 | 东 南 | 精装 | 16层  | 板楼,2024-08-01 23:04:00
世纪城奥体一站地铁，龙湖品质全明舒适三房,https://hz.lianjia.com/ershoufang/103134042932.html,嘉宸天誉名轩 ,萧山新城区,44947元/平,398万,3室2厅 | 88.55平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 23:04:00
世纪城板块，精装修带地暖 中高楼层  满五唯一,https://hz.lianjia.com/ershoufang/103125677599.html,柏峰珑悦府 ,钱江世纪城,51999元/平,730万,4室2厅 | 140.39平米 | 南 北 | 精装 | 18层  | 板楼,2024-08-01 23:04:00
"楼层适中,看智慧之门杭州之门,蓝宝石泳池",https://hz.lianjia.com/ershoufang/103127138316.html,君品名邸 ,钱江世纪城,64729元/平,895万,4室2厅 | 138.27平米 | 西南 | 精装 | 中楼层(共26层)  | 塔楼,2024-08-01 23:04:00
楼下地铁7号线精装修，4.5米层高,https://hz.lianjia.com/ershoufang/103132485996.html,英冠乐创城 ,萧山新城区,21001元/平,89万,2室1厅 | 42.38平米 | 北 | 精装 | 21层  | 板楼,2024-08-01 23:04:00
一楼多层洋房+有架空+有菜园+按毛坯价+诚心卖,https://hz.lianjia.com/ershoufang/103133847104.html,三水一生 ,义桥,16187元/平,212万,3室2厅 | 130.97平米 | 南 | 精装 | 5层  | 板楼,2024-08-01 23:04:00
好楼层，泳池景观，宽阔餐客厅 改善大四房3卫,https://hz.lianjia.com/ershoufang/103133794029.html,绿城沁桂轩 ,萧山新城区,41104元/平,690万,4室2厅 | 167.87平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,2024-08-01 23:04:00
房东已看好新房 常规低价诚心出售 满二 大阳台次新房,https://hz.lianjia.com/ershoufang/103125266806.html,融信杭州世纪 ,萧山新城区,45253元/平,580万,4室2厅 | 128.17平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,2024-08-01 23:04:00
东旭府 精装修4房 楼层好 户型南北通,https://hz.lianjia.com/ershoufang/103124483714.html,东旭府 ,义桥,16669元/平,200万,4室2厅 | 119.99平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-01 23:04:00
三开间朝南，自住精装修，高楼层江景房,https://hz.lianjia.com/ershoufang/103131817178.html,戈雅公寓 ,闻堰,18053元/平,198万,3室2厅 | 109.68平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,2024-08-01 23:04:00
金色钱塘 3室2厅 南,https://hz.lianjia.com/ershoufang/103133656870.html,金色钱塘 ,萧山新城区,24073元/平,340万,3室2厅 | 141.24平米 | 南 | 简装 | 17层  | 板塔结合,2024-08-01 23:04:00
好房推荐 振宁路地铁口 方正户型 满二 无大税,https://hz.lianjia.com/ershoufang/103131381448.html,丰东花苑 ,钱江世纪城,28765元/平,179万,2室1厅 | 62.23平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,2024-08-01 23:04:00
近世纪城，边套精装带地暖三居室，采光很好,https://hz.lianjia.com/ershoufang/103129267502.html,景瑞晴海 ,钱江世纪城,26768元/平,265万,3室2厅 | 99平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
房东诚心出售，中高楼层，视野采光好，现代化精装修,https://hz.lianjia.com/ershoufang/103126967533.html,华瑞晴庐 ,萧山新城区,31105元/平,268万,3室2厅 | 86.16平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2024-08-01 23:04:00
世纪城板块  自住加装50W+ 楼层好  视野宽阔 采光充足,https://hz.lianjia.com/ershoufang/103132654636.html,世纪之光 ,钱江世纪城,48268元/平,606万,4室2厅 | 125.55平米 | 东 南 | 精装 | 16层  | 板楼,2024-08-01 23:04:00
前面就是排屋，小区中间楼层，视野好 ，采光无遮挡,https://hz.lianjia.com/ershoufang/103130952170.html,融望之城 ,南部卧城,24858元/平,245万,3室2厅 | 98.56平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,2024-08-01 23:04:00
一楼多层洋房+有架空+有菜园+按毛坯价+诚心卖,https://hz.lianjia.com/ershoufang/103133847104.html,三水一生 ,义桥,16187元/平,212万,3室2厅 | 130.97平米 | 南 | 精装 | 5层  | 板楼,2024-08-01 23:04:00
世纪城奥体一站地铁，龙湖品质全明舒适三房,https://hz.lianjia.com/ershoufang/103134042932.html,嘉宸天誉名轩 ,萧山新城区,44947元/平,398万,3室2厅 | 88.55平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 23:04:00
地铁二号线，银泰城，满五，拓展27方，南北通透采光好,https://hz.lianjia.com/ershoufang/103134593844.html,光明尚海湾 ,南部卧城,25032元/平,220万,3室2厅 | 87.89平米 | 南 西 北 | 简装 | 中楼层(共27层)  | 板塔结合,2024-08-01 23:04:00
好楼层，泳池景观，宽阔餐客厅 改善大四房3卫,https://hz.lianjia.com/ershoufang/103133794029.html,绿城沁桂轩 ,萧山新城区,41104元/平,690万,4室2厅 | 167.87平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,2024-08-01 23:04:00
广泽小区 地铁口 ，刚需两房，采光好 诚心出售,https://hz.lianjia.com/ershoufang/103133987981.html,广泽小区 ,南部卧城,17163元/平,128万,2室2厅 | 74.58平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-01 23:04:00
精装修大三房，从未入住，98方可扩展28方，双地 铁旁,https://hz.lianjia.com/ershoufang/103132179788.html,金地天逸 ,萧山市区,38618元/平,380万,3室2厅 | 98.4平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,2024-08-01 23:04:00
诚心出售，近地铁，电梯房，两房朝南，阳光充足。,https://hz.lianjia.com/ershoufang/103131492539.html,广泽小区 ,南部卧城,17874元/平,133万,2室2厅 | 74.41平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,2024-08-01 23:04:00
亚运村新空未住精装4房东向大阳台  急售,https://hz.lianjia.com/ershoufang/103134244075.html,日耀之城 ,钱江世纪城,54875元/平,788万,4室2厅 | 143.6平米 | 南 | 精装 | 30层  | 塔楼,2024-08-01 23:04:00
精装60万，满五不唯一 拎包入住，看房方便,https://hz.lianjia.com/ershoufang/103123168129.html,华瑞湘湖美地 ,湘湖,24238元/平,305万,3室2厅 | 125.84平米 | 南 北 | 精装 | 7层  | 板楼,2024-08-01 23:04:00
