地铁口  毛坯房 50平方私家花园 上下两层叠墅,https://hz.lianjia.com/ershoufang/103133089659.html,云彩之城 ,萧山开发区,39569元/平,400万,3室2厅 | 101.09平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,2024-08-03 23:10:28
萧山科技城 总价低 满二唯一 税费少 中楼层 看房方便,https://hz.lianjia.com/ershoufang/103123329723.html,林之语 ,萧山科技城,20908元/平,152万,2室1厅 | 72.7平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2024-08-03 23:10:28
上新房源，高楼层！有车位，纯毛坯，没有住过人！,https://hz.lianjia.com/ershoufang/103134586090.html,钱江蓝湾 ,萧山科技城,22494元/平,190万,3室1厅 | 84.47平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,2024-08-03 23:10:28
望涛月明 滨江品质 精装修全明户型 业主诚售,https://hz.lianjia.com/ershoufang/103133543918.html,滨江望涛月明 ,萧山新城区,30525元/平,330万,3室2厅 | 108.11平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
世纪城板块，精装修带地暖 中高楼层  满五唯一,https://hz.lianjia.com/ershoufang/103125677599.html,柏峰珑悦府 ,钱江世纪城,51999元/平,730万,4室2厅 | 140.39平米 | 南 北 | 精装 | 18层  | 板楼,2024-08-03 23:10:28
诚心售 满五唯一 位置佳 尽揽白马湖畔山水美景,https://hz.lianjia.com/ershoufang/103134398958.html,旭辉滨江东方悦府 ,湘湖,29549元/平,260万,3室2厅 | 87.99平米 | 南 | 精装 | 20层  | 板楼,2024-08-03 23:10:28
银泰旁次新小区 户型好 开发商精装 随时可看房 诚心卖,https://hz.lianjia.com/ershoufang/103134329127.html,融望之城 ,南部卧城,23163元/平,230万,3室2厅 | 99.3平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,2024-08-03 23:10:28
精装修7号线新街站，朝南有阳台高楼层采光好，诚心卖,https://hz.lianjia.com/ershoufang/103132723547.html,永和之星 ,萧山开发区,12170元/平,46万,1室2厅 | 37.8平米 | 南 | 精装 | 18层  | 塔楼,2024-08-03 23:10:28
户型好 诚心出售 15号线地铁口,https://hz.lianjia.com/ershoufang/103131385078.html,奥园 ,南部卧城,25858元/平,224万,3室2厅 | 86.63平米 | 南 | 简装 | 低楼层(共34层)  | 塔楼,2024-08-03 23:10:28
精装交付，次新小区，房东诚心，地铁15号线,https://hz.lianjia.com/ershoufang/103133519081.html,佳印府 ,南部卧城,27265元/平,239万,3室2厅 | 87.66平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2024-08-03 23:10:28
浙二医院旁，精装交付，次新小区，房东诚心,https://hz.lianjia.com/ershoufang/103123861234.html,佳印府 ,南部卧城,26677元/平,325万,4室2厅 | 121.83平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2024-08-03 23:10:28
滨江品质 精装修 自住看房方便 低总价,https://hz.lianjia.com/ershoufang/103131289786.html,滨江旭辉滨旭府 ,萧山开发区,20206元/平,195万,3室2厅 | 96.51平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
边套108方，满二，无大税，房东是贝壳铁粉,https://hz.lianjia.com/ershoufang/103133799662.html,湖悦章府 ,南部卧城,26304元/平,285万,3室1厅 | 108.35平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
奥园精装小三房，高楼层，业主诚心卖，满五唯一！,https://hz.lianjia.com/ershoufang/103128483066.html,奥园 ,南部卧城,23042元/平,190万,3室1厅 | 82.46平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-03 23:10:28
满五唯一，多层洋房，视野好，房东急售,https://hz.lianjia.com/ershoufang/103128432894.html,华瑞湘湖美地 ,湘湖,23799元/平,300万,3室2厅 | 126.06平米 | 南 | 简装 | 7层  | 板楼,2024-08-03 23:10:28
五号地铁口，万科全新精装，楼层好、采光好、诚心出售,https://hz.lianjia.com/ershoufang/103134733771.html,虹云之城 ,萧山开发区,25245元/平,248万,3室2厅 | 98.24平米 | 南 | 精装 | 16层  | 板楼,2024-08-03 23:10:28
三开间朝南，自住精装修，高楼层江景房,https://hz.lianjia.com/ershoufang/103131817178.html,戈雅公寓 ,闻堰,18053元/平,198万,3室2厅 | 109.68平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,2024-08-03 23:10:28
新上 滨江品质 楼层佳 四房西边套，房东诚心看房方便,https://hz.lianjia.com/ershoufang/103133474627.html,滨江滨涛映月 ,萧山新城区,41404元/平,530万,4室2厅 | 128.01平米 | 南 | 精装 | 26层  | 板塔结合,2024-08-03 23:10:28
房东诚售 满二税费少 精装全新无入住 次新小区,https://hz.lianjia.com/ershoufang/103134293693.html,湖悦章府 ,南部卧城,27716元/平,270万,3室2厅 | 97.42平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
满五唯一，近地铁，业主诚售，电梯房小户型,https://hz.lianjia.com/ershoufang/103133943558.html,中誉现代城 ,萧山新城区,21460元/平,100万,1室1厅 | 46.6平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,2024-08-03 23:10:28
满五唯一，多层洋房，视野好，房东急售,https://hz.lianjia.com/ershoufang/103128432894.html,华瑞湘湖美地 ,湘湖,23799元/平,300万,3室2厅 | 126.06平米 | 南 | 简装 | 7层  | 板楼,2024-08-03 23:10:28
五号地铁口，万科全新精装，楼层好、采光好、诚心出售,https://hz.lianjia.com/ershoufang/103134733771.html,虹云之城 ,萧山开发区,25245元/平,248万,3室2厅 | 98.24平米 | 南 | 精装 | 16层  | 板楼,2024-08-03 23:10:28
房东诚心出售   看房方便   价格还可以谈的,https://hz.lianjia.com/ershoufang/103133190758.html,悦风荷锦庭 ,义桥,17596元/平,168万,3室2厅 | 95.48平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-03 23:10:28
满五唯一户型好，装修清爽，房东诚心出售，有自行车库,https://hz.lianjia.com/ershoufang/103125276631.html,韩家弄 ,萧山市区,19569元/平,157万,3室2厅 | 80.23平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2024-08-03 23:10:28
精装修，满二唯一，无遮挡采光不错,https://hz.lianjia.com/ershoufang/103125441671.html,创世邸 ,钱江世纪城,67940元/平,605万,3室2厅 | 89.05平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-03 23:10:28
五房开发商精装修，一梯两户，未入住，有车位两个。,https://hz.lianjia.com/ershoufang/103120918491.html,滨江江南之星 ,萧山新城区,58270元/平,810万,5室2厅 | 139.01平米 | 南 | 精装 | 11层  | 板楼,2024-08-03 23:10:28
户型好 诚心出售 15号线地铁口,https://hz.lianjia.com/ershoufang/103131385078.html,奥园 ,南部卧城,25858元/平,224万,3室2厅 | 86.63平米 | 南 | 简装 | 低楼层(共34层)  | 塔楼,2024-08-03 23:10:28
边套108方，满二，无大税，房东是贝壳铁粉,https://hz.lianjia.com/ershoufang/103133799662.html,湖悦章府 ,南部卧城,26304元/平,285万,3室1厅 | 108.35平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
奥园精装小三房，高楼层，业主诚心卖，满五唯一！,https://hz.lianjia.com/ershoufang/103128483066.html,奥园 ,南部卧城,23042元/平,190万,3室1厅 | 82.46平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-03 23:10:28
精装交付，次新小区，房东诚心，地铁15号线,https://hz.lianjia.com/ershoufang/103133519081.html,佳印府 ,南部卧城,27265元/平,239万,3室2厅 | 87.66平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2024-08-03 23:10:28
此房满五唯一，楼层中上，前后采光无遮挡,https://hz.lianjia.com/ershoufang/103134049476.html,阳光城上府 ,西兴,36448元/平,325万,3室2厅 | 89.17平米 | 南 | 简装 | 34层  | 板楼,2024-08-03 23:10:28
建设三路双地铁口，户型好 业主诚心卖，,https://hz.lianjia.com/ershoufang/103134745823.html,中誉万豪广场 ,萧山新城区,10515元/平,110万,2室1厅 | 104.62平米 | 南 | 简装 | 28层  | 板楼,2024-08-03 23:10:28
滨江品质 精装修 自住看房方便 低总价,https://hz.lianjia.com/ershoufang/103131289786.html,滨江旭辉滨旭府 ,萧山开发区,20206元/平,195万,3室2厅 | 96.51平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
浙二医院旁，精装交付，次新小区，房东诚心,https://hz.lianjia.com/ershoufang/103123861234.html,佳印府 ,南部卧城,26677元/平,325万,4室2厅 | 121.83平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2024-08-03 23:10:28
五开间朝南，自住精装，房东诚心出售，大五房户型,https://hz.lianjia.com/ershoufang/103132334397.html,中旅名门府新境 ,萧山新城区,40598元/平,720万,5室2厅 | 177.35平米 | 南 西 北 | 精装 | 中楼层(共26层)  | 板塔结合,2024-08-03 23:10:28
德信君宸，中间楼层正对小区景观花园，户型方正随时看,https://hz.lianjia.com/ershoufang/103132061002.html,德信君宸 ,萧山新城区,35798元/平,292万,3室1厅 | 81.57平米 | 南 | 精装 | 23层  | 板楼,2024-08-03 23:10:28
滨江品质，采光好，户型好得房率高 增五平米储藏间,https://hz.lianjia.com/ershoufang/103123558179.html,新越锦粼府 ,萧山新城区,28574元/平,338万,4室2厅 | 118.29平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,2024-08-03 23:10:28
地铁口，诚心出售，视野宽阔，交通便利,https://hz.lianjia.com/ershoufang/103132259490.html,萧悦中御府 ,萧山新城区,32159元/平,355万,3室2厅 | 110.39平米 | 南 | 精装 | 33层  | 板楼,2024-08-03 23:10:28
萧山市区少有的排屋，次新刚交付的小区带露台环境好,https://hz.lianjia.com/ershoufang/103130207581.html,中天云望 ,萧山市区,56444元/平,950万,4室1厅 | 168.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2024-08-03 23:10:28
满两年次新小区 带孩子方便都在小区旁看房方便自住,https://hz.lianjia.com/ershoufang/103134458971.html,宸宇府 ,南部卧城,26229元/平,269万,3室1厅 | 102.56平米 | 南 | 精装 | 32层  | 板楼,2024-08-03 23:10:28
二五号双地铁 采光好 业主诚心卖，银河北干双 学府,https://hz.lianjia.com/ershoufang/103131929639.html,北干一苑 ,萧山市区,25970元/平,150万,2室1厅 | 57.76平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2024-08-03 23:10:28
地铁二号线，银泰城，满五，拓展27方，南北通透采光好,https://hz.lianjia.com/ershoufang/103134593844.html,光明尚海湾 ,南部卧城,25032元/平,220万,3室2厅 | 87.89平米 | 南 西 北 | 简装 | 中楼层(共27层)  | 板塔结合,2024-08-03 23:10:28
世纪城 万科精装 满五 采光无影响 三开间朝南,https://hz.lianjia.com/ershoufang/103128698501.html,世纪之光 ,钱江世纪城,39429元/平,320万,3室2厅 | 81.16平米 | 南 | 精装 | 17层  | 板楼,2024-08-03 23:10:28
市北西德信君宸自住精装三房好楼层夹边套,https://hz.lianjia.com/ershoufang/103133854472.html,德信君宸 ,萧山新城区,36104元/平,295万,3室1厅 | 81.71平米 | 南 | 精装 | 23层  | 板楼,2024-08-03 23:10:28
金域东方园 纯边套 精装修 家电家具齐全 拎包入住,https://hz.lianjia.com/ershoufang/103133371365.html,绿都金域东方 ,义桥,19000元/平,169万,3室2厅 | 88.95平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2024-08-03 23:10:28
诚心出售，精装交付，滨江物业，中间楼层,https://hz.lianjia.com/ershoufang/103123471085.html,滨江东原拥翠府 ,萧山新城区,45126元/平,430万,3室2厅 | 95.29平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,2024-08-03 23:10:28
视野开阔 楼层佳 位置好 看房方便 业主诚心出售,https://hz.lianjia.com/ershoufang/103131723238.html,悦风荷锦庭 ,义桥,18202元/平,170万,3室2厅 | 93.4平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-03 23:10:28
市北品质小区 滨江双子 此房视野好位置安静  看房方便,https://hz.lianjia.com/ershoufang/103133963790.html,滨江望涛月明 ,萧山新城区,38367元/平,495万,4室2厅 | 129.02平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-03 23:10:28
房子格局好，满五的房子，房东诚心出售 ，价格可谈,https://hz.lianjia.com/ershoufang/103125359585.html,绿都四季花城 ,南部卧城,23336元/平,388万,4室2厅 | 166.27平米 | 南 | 精装 | 10层  | 板楼,2024-08-03 23:10:28
店长推荐 一号线南阳地铁  小三房 自住装修，满二,https://hz.lianjia.com/ershoufang/103131743346.html,大诚纪名府 ,大江东,20328元/平,180万,3室2厅 | 88.55平米 | 南 | 精装 | 14层  | 板塔结合,2024-08-03 23:10:28
纯边套，房东诚售！买房提供免费设计服务！价格能谈！,https://hz.lianjia.com/ershoufang/103132404961.html,顺发美颂城 ,钱江世纪城,31047元/平,300万,3室1厅 | 96.63平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-03 23:10:28
精装交付次新房，南北三居，明厨明卫。好楼层,https://hz.lianjia.com/ershoufang/103128225802.html,景瑞晴海 ,钱江世纪城,29798元/平,295万,3室2厅 | 99平米 | 南 西 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
博印名邸 7号线地铁口 精装修三房，低总价，诚心卖,https://hz.lianjia.com/ershoufang/103131409409.html,博印名邸 ,萧山开发区,26420元/平,215万,3室2厅 | 81.38平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
开发商精装交付，楼幢好，楼层好，诚心出售,https://hz.lianjia.com/ershoufang/103131271089.html,青漫里 ,南部卧城,25310元/平,235万,3室2厅 | 92.85平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,2024-08-03 23:10:28
钱江世纪城板块，2号线振宁路地铁口小户型,https://hz.lianjia.com/ershoufang/103131235158.html,顺丰家园 ,钱江世纪城,23964元/平,148万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-03 23:10:28
精装大三房，纯边套，1号5号双地铁100米，中高无遮挡,https://hz.lianjia.com/ershoufang/103131492415.html,阳光城上府 ,西兴,37658元/平,335万,3室2厅 | 88.96平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2024-08-03 23:10:28
带大露台，精装修大三房，舒适宜居带生活综合体,https://hz.lianjia.com/ershoufang/103130307977.html,顺发美颂城 ,钱江世纪城,30583元/平,305万,3室2厅 | 99.73平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-03 23:10:28
房东已看好新房 常规低价诚心出售 满二 大阳台次新房,https://hz.lianjia.com/ershoufang/103125266806.html,融信杭州世纪 ,萧山新城区,45253元/平,580万,4室2厅 | 128.17平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,2024-08-03 23:10:28
好楼层，精装修，房东诚心出售。,https://hz.lianjia.com/ershoufang/103133518206.html,恒大帝景 ,南部卧城,24555元/平,208万,3室2厅 | 84.71平米 | 南 | 精装 | 30层  | 板楼,2024-08-03 23:10:28
五号线地铁 全新精装修 西边套户型 看房方便 楼层好,https://hz.lianjia.com/ershoufang/103132514677.html,花栖云境里 ,萧山开发区,21915元/平,255万,4室2厅 | 116.36平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,2024-08-03 23:10:28
精装修的，4.5米层高 诚心出售 价格可以谈,https://hz.lianjia.com/ershoufang/103124025921.html,百富联合国际奥体之星 ,钱江世纪城,14376元/平,66万,2室1厅 | 45.91平米 | 南 西 | 精装 | 低楼层(共18层)  | 塔楼,2024-08-03 23:10:28
西东边套大三房，带精装修，户型方正，楼层佳，采光好,https://hz.lianjia.com/ershoufang/103129725284.html,湘湖人家 ,闻堰,22307元/平,265万,3室2厅 | 118.8平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2024-08-03 23:10:28
7号线地铁口，楼层好，通透户型，正对花园业主诚心卖,https://hz.lianjia.com/ershoufang/103132381332.html,博印名邸 ,萧山开发区,28303元/平,250万,3室2厅 | 88.33平米 | 南 北 | 精装 | 27层  | 板楼,2024-08-03 23:10:28
高楼层、纯毛坯从未入住、满二年有车位、诚心卖。,https://hz.lianjia.com/ershoufang/103129961110.html,滨江江南之星 ,萧山新城区,41049元/平,365万,3室2厅 | 88.92平米 | 南 北 | 毛坯 | 34层  | 板塔结合,2024-08-03 23:10:28
云彩之城 4室2厅 南 西,https://hz.lianjia.com/ershoufang/103131839615.html,云彩之城 ,萧山开发区,21691元/平,299万,4室2厅 | 137.85平米 | 南 西 | 精装 | 中楼层(共18层)  | 板楼,2024-08-03 23:10:28
视野好的 新交付小区 环境好 楼层好,https://hz.lianjia.com/ershoufang/103132712512.html,德信金科泊岸江宸轩 ,南部卧城,16934元/平,182万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-03 23:10:28
万科开发，位置好，房子性 价比高，看房随时。,https://hz.lianjia.com/ershoufang/103134422068.html,日耀之城 ,钱江世纪城,55014元/平,790万,4室2厅 | 143.6平米 | 南 | 精装 | 30层  | 塔楼,2024-08-03 23:10:28
3开间朝南，高楼层，采光好，自住装修，拎包入住,https://hz.lianjia.com/ershoufang/103126805035.html,金昌春和钱塘 ,钱江世纪城,42192元/平,365万,3室2厅 | 86.51平米 | 南 | 精装 | 23层  | 板塔结合,2024-08-03 23:10:28
小高层电梯房 双金山 近地铁 配套齐全 不沿马路 诚售,https://hz.lianjia.com/ershoufang/103133883158.html,金浦明苑西区 ,萧山新城区,23708元/平,360万,3室2厅 | 151.85平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,2024-08-03 23:10:28
70年产权，此房近地铁，银河实验、北干,https://hz.lianjia.com/ershoufang/103130471059.html,中誉现代城 ,萧山新城区,18426元/平,99万,1室0厅 | 53.73平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,2024-08-03 23:10:28
国泰花园 金浦明苑旁 电梯房 中楼层 房东诚心出售,https://hz.lianjia.com/ershoufang/103129681192.html,众安国泰花园 ,萧山新城区,25007元/平,365万,3室2厅 | 145.96平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-03 23:10:28
好房推荐 振宁路地铁口 方正户型 满二 无大税,https://hz.lianjia.com/ershoufang/103131381448.html,丰东花苑 ,钱江世纪城,28765元/平,179万,2室1厅 | 62.23平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,2024-08-03 23:10:28
近钱江世纪城 业主急售 户型优质 价格可谈,https://hz.lianjia.com/ershoufang/103131012547.html,奥悦美筑 ,钱江世纪城,29989元/平,329万,3室2厅 | 109.71平米 | 东南 | 精装 | 高楼层(共22层)  | 板楼,2024-08-03 23:10:28
滨江品质.业主急售 次新小区 视野好 滨江物业,https://hz.lianjia.com/ershoufang/103133462583.html,滨江滨涛映月 ,萧山新城区,38142元/平,490万,4室2厅 | 128.47平米 | 西南 | 精装 | 26层  | 板塔结合,2024-08-03 23:10:28
湘湖人家洋房户型，自住精装修，三开间朝南,https://hz.lianjia.com/ershoufang/103133994372.html,湘湖人家 ,闻堰,19392元/平,165万,2室1厅 | 85.09平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2024-08-03 23:10:28
地铁口东边套户型好有电梯带地面大车库诚售随时看房,https://hz.lianjia.com/ershoufang/103132968221.html,恒泰御庭园 ,钱江世纪城,22967元/平,310万,3室2厅 | 134.98平米 | 南 | 简装 | 6层  | 板塔结合,2024-08-03 23:10:28
满二 全新未住人 采光好无遮挡 精装zhong央空调带地暖,https://hz.lianjia.com/ershoufang/103134753746.html,久赋名邸 ,南部卧城,32379元/平,320万,3室2厅 | 98.83平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,2024-08-03 23:10:28
江景西边套，窗外景观美如宫崎骏或者毕加索的画,https://hz.lianjia.com/ershoufang/103134311408.html,日耀之城 ,钱江世纪城,62085元/平,1550万,4室2厅 | 249.66平米 | 南 | 精装 | 36层  | 板塔结合,2024-08-03 23:10:28
奥体东 一线江景房 精装大平层阳台浇筑好的 诚心出售,https://hz.lianjia.com/ershoufang/103129318693.html,众安景海湾 ,萧山科技城,19251元/平,302万,4室2厅 | 156.88平米 | 南 北 | 精装 | 31层  | 板楼,2024-08-03 23:10:28
金域东方园纯边套 精装修 家电家具齐全 拎包入住,https://hz.lianjia.com/ershoufang/103134175700.html,绿都金域东方 ,义桥,17763元/平,158万,3室2厅 | 88.95平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-03 23:10:28
"2号线曹家桥站，楼层好，视野好，有电梯,满二年",https://hz.lianjia.com/ershoufang/103130974070.html,广悦公寓 ,南部卧城,18950元/平,238万,3室2厅 | 125.6平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-03 23:10:28
2号线曹家桥1公里，楼层好视野好，自带幼儿园.满五年,https://hz.lianjia.com/ershoufang/103131752773.html,广泽小区 ,南部卧城,18158元/平,138万,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,2024-08-03 23:10:28
浙二医院近，楼层好 满5唯一 带精装家具家电35万＋,https://hz.lianjia.com/ershoufang/103133635166.html,碧桂园天麓府 ,南部卧城,24787元/平,215万,3室2厅 | 86.74平米 | 南 | 精装 | 26层  | 板楼,2024-08-03 23:10:28
户型好 采光好 电梯房  高桥初中,https://hz.lianjia.com/ershoufang/103134859688.html,绿都四季花城 ,南部卧城,22833元/平,380万,4室1厅 | 166.43平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-03 23:10:28
朝南高楼层小户型，诚心出售好房，户型方正。,https://hz.lianjia.com/ershoufang/103128639188.html,北干一苑 ,萧山市区,39092元/平,105万,1室1厅 | 26.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2024-08-03 23:10:28
自住两年装修 稀有跃层全明户型 看房方便 房东诚心售,https://hz.lianjia.com/ershoufang/103134388045.html,德信君宸 ,萧山新城区,42106元/平,372万,3室2厅 | 88.35平米 | 南 | 精装 | 18层  | 板楼,2024-08-03 23:10:28
广泽小区 2室2厅 南,https://hz.lianjia.com/ershoufang/103134270979.html,广泽小区 ,南部卧城,17061元/平,130万,2室2厅 | 76.2平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,2024-08-03 23:10:28
小区房龄新，三开间朝南，采光充足，房东诚心出售,https://hz.lianjia.com/ershoufang/103133502547.html,德信碧桂园印江南 ,南部卧城,23243元/平,208万,3室1厅 | 89.49平米 | 南 | 简装 | 低楼层(共20层)  | 塔楼,2024-08-03 23:10:28
杭州7号地铁口 20米左右 交通方便 永乐梦旺城旁,https://hz.lianjia.com/ershoufang/103134567644.html,相贤府 ,大江东,31536元/平,549万,5室2厅 | 174.09平米 | 南 | 精装 | 高楼层(共9层)  | 塔楼,2024-08-03 23:10:28
郡望府  东边套   户型采光好,https://hz.lianjia.com/ershoufang/103134000431.html,郡望府 ,萧山开发区,27547元/平,245万,4室2厅 | 88.94平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,2024-08-03 23:10:28
奥体印象城旁  满二年  自住精装修  小区后排,https://hz.lianjia.com/ershoufang/103128120003.html,金昌春和钱塘 ,钱江世纪城,47086元/平,395万,3室1厅 | 83.89平米 | 南 | 精装 | 23层  | 板塔结合,2024-08-03 23:10:28
新镇路 地铁口 满五唯一 边套 毛坯,https://hz.lianjia.com/ershoufang/103119181894.html,兴耀星悦湾 ,大江东,16008元/平,185万,3室2厅 | 115.57平米 | 南 | 毛坯 | 14层  | 板楼,2024-08-03 23:10:28
此房满五的 业主自住精装修 楼层高 无增值税,https://hz.lianjia.com/ershoufang/103133949240.html,三水一生 ,义桥,14376元/平,180万,3室2厅 | 125.21平米 | 南 北 | 精装 | 5层  | 板楼,2024-08-03 23:10:28
东信莱茵园 电梯房 西边套 四房 房东诚心出售,https://hz.lianjia.com/ershoufang/103123868722.html,东信莱茵园 ,萧山新城区,19379元/平,340万,4室2厅 | 175.45平米 | 南 | 精装 | 21层  | 板楼,2024-08-03 23:10:28
