近地铁 配套成熟 自住精装 中间楼层 业主置换诚售,https://hz.lianjia.com/ershoufang/103131846262.html,恒大帝景 ,南部卧城,"26,870元/平",368万,5室2厅 | 136.96平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
阳光城上府 3室1厅 南,https://hz.lianjia.com/ershoufang/103133621655.html,阳光城上府 ,西兴,"33,724元/平",300万,3室1厅 | 88.96平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2024-08-01 22:59:28
银泰旁 边套 好楼层 全新入住 软装齐全,https://hz.lianjia.com/ershoufang/103134832102.html,宸宇府 ,南部卧城,"28,888元/平",345万,4室1厅 | 119.43平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 22:59:28
小区环境好， 总价低， 看房方便，有钥匙,https://hz.lianjia.com/ershoufang/103134166137.html,南润名座 ,南部卧城,"10,775元/平",38万,2室1厅 | 35.27平米 | 北 | 简装 | 高楼层(共22层)  | 板楼,2024-08-01 22:59:28
次新电梯房，小区体量大，配套成熟，中间楼层，采光好,https://hz.lianjia.com/ershoufang/103134165184.html,广泽小区 ,南部卧城,"16,743元/平",125万,2室2厅 | 74.66平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,2024-08-01 22:59:28
5号线地铁口，中间楼层，正对游泳池采光好,https://hz.lianjia.com/ershoufang/103129652690.html,得力名望府 ,萧山开发区,"24,879元/平",148万,2室2厅 | 59.49平米 | 南 | 毛坯 | 25层  | 板楼,2024-08-01 22:59:28
满五唯一 大三房 东边套 精装修 诚心出售,https://hz.lianjia.com/ershoufang/103130233816.html,美之园西区 ,湘湖,"19,114元/平",260万,3室2厅 | 136.03平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
房子满二唯一 楼层适中 采光很好 房东诚心 看房方便,https://hz.lianjia.com/ershoufang/103129735923.html,创世邸 ,钱江世纪城,"72,234元/平",782万,3室2厅 | 108.26平米 | 南 | 精装 | 32层  | 板楼,2024-08-01 22:59:28
标准三房 户型方正 出行便利，配套完善，地铁1公里,https://hz.lianjia.com/ershoufang/103130766361.html,久赋名邸 ,南部卧城,"32,600元/平",320万,3室2厅 | 98.16平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,2024-08-01 22:59:28
满五唯一 夹边套 小区后排 实用80方 诚心出售,https://hz.lianjia.com/ershoufang/103129811290.html,金昌春和钱塘 ,钱江世纪城,"47,188元/平",406万,3室1厅 | 86.04平米 | 南 北 | 精装 | 23层  | 板塔结合,2024-08-01 22:59:28
德圣博奥城，5房双卫99%得房率，精装修。,https://hz.lianjia.com/ershoufang/103134351718.html,德圣博奥城 ,萧山新城区,"44,038元/平",575万,5室2厅 | 130.57平米 | 南 西 北 | 精装 | 24层  | 板楼,2024-08-01 22:59:28
近奥体，临滨江，市北西品质小区，七号线地铁口,https://hz.lianjia.com/ershoufang/103125848641.html,景宸天玺名城 ,萧山新城区,"43,792元/平",510万,4室2厅 | 116.46平米 | 南 西 | 毛坯 | 34层  | 塔楼,2024-08-01 22:59:28
三开间朝南，全明户型，双阳台，高层住宅滨江物业,https://hz.lianjia.com/ershoufang/103131918370.html,澜颂奥府 ,萧山新城区,"30,194元/平",260万,3室2厅 | 86.11平米 | 南 | 简装 | 27层  | 板楼,2024-08-01 22:59:28
地铁口精装修，高楼层，软装柜子阳台改造好了,https://hz.lianjia.com/ershoufang/103129771995.html,久赋名邸 ,南部卧城,"28,252元/平",280万,3室1厅 | 99.11平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,2024-08-01 22:59:28
小户型，两层的，一层得两层，小区环境好，看房方便,https://hz.lianjia.com/ershoufang/103130433805.html,融创云潮府 ,萧山科技城,"14,958元/平",69万,2室1厅 | 46.13平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,2024-08-01 22:59:28
业主诚心卖，精装修现房，不朝高架，看房子有钥匙！,https://hz.lianjia.com/ershoufang/103127705531.html,景瑞晴海 ,钱江世纪城,"27,097元/平",265万,3室2厅 | 97.8平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,"26,199元/平",258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
满五唯一 不沿街 自住精装 看房密码  诚心出售,https://hz.lianjia.com/ershoufang/103129192430.html,顺发江南丽锦 ,钱江世纪城,"38,550元/平",660万,5室2厅 | 171.21平米 | 南 北 | 精装 | 33层  | 板塔结合,2024-08-01 22:59:28
日耀之城 4室2厅 南,https://hz.lianjia.com/ershoufang/103133988021.html,日耀之城 ,钱江世纪城,"55,487元/平",799万,4室2厅 | 144平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
奥体板块精工之作，碧桂园开发，滨江物业，两梯两户,https://hz.lianjia.com/ershoufang/103125636477.html,柏峰珑悦府 ,钱江世纪城,"45,553元/平",548万,3室2厅 | 120.3平米 | 南 | 精装 | 18层  | 板楼,2024-08-01 22:59:28
近奥体，临滨江，市北西品质小区，七号线地铁口,https://hz.lianjia.com/ershoufang/103125848641.html,景宸天玺名城 ,萧山新城区,"43,792元/平",510万,4室2厅 | 116.46平米 | 南 西 | 毛坯 | 34层  | 塔楼,2024-08-01 22:59:28
满五唯一 不沿街 自住精装 看房密码  诚心出售,https://hz.lianjia.com/ershoufang/103129192430.html,顺发江南丽锦 ,钱江世纪城,"38,550元/平",660万,5室2厅 | 171.21平米 | 南 北 | 精装 | 33层  | 板塔结合,2024-08-01 22:59:28
西边套小洋房 视野开阔 无噪音 满五急售,https://hz.lianjia.com/ershoufang/103133548129.html,通惠江南名府 ,萧山新城区,"35,687元/平",416万,4室1厅 | 116.57平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-01 22:59:28
奥体板块精工之作，碧桂园开发，滨江物业，两梯两户,https://hz.lianjia.com/ershoufang/103125636477.html,柏峰珑悦府 ,钱江世纪城,"45,553元/平",548万,3室2厅 | 120.3平米 | 南 | 精装 | 18层  | 板楼,2024-08-01 22:59:28
日耀之城 4室2厅 南,https://hz.lianjia.com/ershoufang/103133988021.html,日耀之城 ,钱江世纪城,"55,487元/平",799万,4室2厅 | 144平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
滨江品质小区 视野开拓满二唯一 业主诚心出售,https://hz.lianjia.com/ershoufang/103131020736.html,通惠江南名府 ,萧山新城区,"34,861元/平",312万,3室2厅 | 89.5平米 | 东 | 精装 | 中楼层(共27层)  | 板楼,2024-08-01 22:59:28
钱江世纪城旁，高品质次新小区，3房2卫，诚售,https://hz.lianjia.com/ershoufang/103127692583.html,景瑞晴海 ,钱江世纪城,"26,199元/平",258万,3室2厅 | 98.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
业主诚心卖，精装修现房，不朝高架，看房子有钥匙！,https://hz.lianjia.com/ershoufang/103127705531.html,景瑞晴海 ,钱江世纪城,"27,097元/平",265万,3室2厅 | 97.8平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
小户型，两层的，一层得两层，小区环境好，看房方便,https://hz.lianjia.com/ershoufang/103130433805.html,融创云潮府 ,萧山科技城,"14,958元/平",69万,2室1厅 | 46.13平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,2024-08-01 22:59:28
多层好楼层 诚心出售 看房方便,https://hz.lianjia.com/ershoufang/103131301639.html,华瑞湘湖美地 ,湘湖,"22,324元/平",285万,3室2厅 | 127.67平米 | 南 | 简装 | 7层  | 板楼,2024-08-01 22:59:28
精装修3房 滨江品质 楼层适中 视野开阔,https://hz.lianjia.com/ershoufang/103129953396.html,庆丰拥涛府 ,萧山新城区,"45,141元/平",438万,3室1厅 | 97.03平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-01 22:59:28
南临水博园，北临钱塘江，业主诚心出售,https://hz.lianjia.com/ershoufang/103134549662.html,科尔世纪外滩 ,萧山科技城,"21,383元/平",189万,3室1厅 | 88.39平米 | 南 | 毛坯 | 28层  | 板塔结合,2024-08-01 22:59:28
7号线新街站300米，精装修边套横厅大3房2卫，看房方便,https://hz.lianjia.com/ershoufang/103130696605.html,保利欣品华庭 ,萧山开发区,"25,277元/平",270万,3室2厅 | 106.82平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,2024-08-01 22:59:28
中间好楼层，采光视野好，无抵押，无户口，随时看房,https://hz.lianjia.com/ershoufang/103133939898.html,阳光城滨奥悦府 ,钱江世纪城,"67,743元/平",940万,4室2厅 | 138.76平米 | 南 北 | 精装 | 17层  | 板楼,2024-08-01 22:59:28
旭辉和昌都会山 4室2厅 南,https://hz.lianjia.com/ershoufang/103134191303.html,旭辉和昌都会山 ,钱江世纪城,"61,692元/平",730万,4室2厅 | 118.33平米 | 南 | 精装 | 29层  | 板楼,2024-08-01 22:59:28
房东诚心，朝南阳光视野很棒，有密码随时看房,https://hz.lianjia.com/ershoufang/103132992498.html,旭辉和昌都会山 ,钱江世纪城,"28,702元/平",88万,1室1厅 | 30.66平米 | 南 西南 | 精装 | 21层  | 塔楼,2024-08-01 22:59:28
精装小两居室，好楼层，采光好急售 满两年,https://hz.lianjia.com/ershoufang/103133790612.html,盛达名苑 ,萧山开发区,"19,887元/平",105万,2室1厅 | 52.8平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
房子户型正 三开间朝南 交通方便 刚需低首付,https://hz.lianjia.com/ershoufang/103132029587.html,金域兰庭 ,义桥,"16,327元/平",140万,2室2厅 | 85.75平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2024-08-01 22:59:28
钱江世纪城板块 振宁路地铁口 小洋房 得房率高 诚心卖,https://hz.lianjia.com/ershoufang/103132660595.html,顺丰家园 ,钱江世纪城,"25,907元/平",160万,2室1厅 | 61.76平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
世纪城板块，中间楼层，税费低，不沿高架，业主诚售,https://hz.lianjia.com/ershoufang/103130747151.html,柏峰珑悦府 ,钱江世纪城,"47,045元/平",558万,3室2厅 | 118.61平米 | 南 北 | 精装 | 16层  | 板楼,2024-08-01 22:59:28
地铁约10几分，滨江物业滨江造，4房边套精装,https://hz.lianjia.com/ershoufang/103130144026.html,朝闻花城 ,南部卧城,"29,795元/平",327万,4室2厅 | 109.75平米 | 南 | 精装 | 27层  | 暂无数据,2024-08-01 22:59:28
次新小区 1楼带花园精装修 物业管理好 金科物业,https://hz.lianjia.com/ershoufang/103126886120.html,钱江蓝湾 ,萧山科技城,"34,206元/平",298万,3室2厅 | 87.12平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,2024-08-01 22:59:28
7号线地铁 全新精装修 业主置换 包增值税 随时看房,https://hz.lianjia.com/ershoufang/103129509164.html,保利和者时光印象府 ,萧山开发区,"21,952元/平",180万,3室2厅 | 82平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,2024-08-01 22:59:28
"2号线曹家桥站，楼层好，视野好，有电梯,满二年",https://hz.lianjia.com/ershoufang/103130974070.html,广悦公寓 ,南部卧城,"18,950元/平",238万,3室2厅 | 125.6平米 | 南 | 毛坯 | 26层  | 板楼,2024-08-01 22:59:28
珑悦 四房 精工户型 优质好房,https://hz.lianjia.com/ershoufang/103130305593.html,柏峰珑悦府 ,钱江世纪城,"50,605元/平",720万,4室2厅 | 142.28平米 | 南 | 精装 | 18层  | 板楼,2024-08-01 22:59:28
自住精装，满五业主诚心售，滨江品质，带车位,https://hz.lianjia.com/ershoufang/103128624051.html,滨江金色江南公寓 ,钱江世纪城,"48,015元/平",428万,3室2厅 | 89.14平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
品文府 号楼幢  好户型 四开间朝南 房东诚心出售,https://hz.lianjia.com/ershoufang/103134037447.html,品文府 ,南部卧城,"20,210元/平",245万,3室2厅 | 121.23平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,2024-08-01 22:59:28
金地天逸品质小区 精装交付双地铁龙湖天街 业主诚心卖,https://hz.lianjia.com/ershoufang/103130358389.html,金地天逸 ,萧山市区,"45,026元/平",730万,4室2厅 | 162.13平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,2024-08-01 22:59:28
碧珑湾  万科品质  无增值税  采光视野好  诚心出售,https://hz.lianjia.com/ershoufang/103133082654.html,碧珑湾 ,萧山新城区,"43,071元/平",500万,4室2厅 | 116.09平米 | 东 南 北 | 精装 | 18层  | 板楼,2024-08-01 22:59:28
小区19幢开发商精装交付，业主诚心出售，满五无大税,https://hz.lianjia.com/ershoufang/103132242968.html,顺发恒园 ,萧山新城区,"39,619元/平",349万,3室2厅 | 88.09平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 22:59:28
小区19幢开发商精装交付，业主诚心出售，满五无大税,https://hz.lianjia.com/ershoufang/103132242968.html,顺发恒园 ,萧山新城区,"39,619元/平",349万,3室2厅 | 88.09平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 22:59:28
湘湖美地电梯洋房，精装未住过满五唯一,https://hz.lianjia.com/ershoufang/103126211174.html,华瑞湘湖美地 ,湘湖,"22,559元/平",325万,3室2厅 | 144.07平米 | 南 | 精装 | 12层  | 板楼,2024-08-01 22:59:28
钱江世纪城板块 振宁路地铁口 大三房 满五年,https://hz.lianjia.com/ershoufang/103119611346.html,恒泰御庭园 ,钱江世纪城,"20,091元/平",315万,4室2厅 | 156.79平米 | 南 | 精装 | 12层  | 板塔结合,2024-08-01 22:59:28
法式精装，东边套，价格低，诚心卖,https://hz.lianjia.com/ershoufang/103134314926.html,星翠澜庭 ,钱江世纪城,"55,171元/平",700万,4室2厅 | 126.88平米 | 东 南 | 精装 | 25层  | 板楼,2024-08-01 22:59:28
滨江品质 精装修 自住看房方便 低总价,https://hz.lianjia.com/ershoufang/103131289786.html,滨江旭辉滨旭府 ,萧山开发区,"20,206元/平",195万,3室2厅 | 96.51平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 22:59:28
采光视野无遮挡，全屋精装修加软装带新风系统,https://hz.lianjia.com/ershoufang/103129895285.html,天璞御园 ,钱江世纪城,"58,441元/平",620万,3室1厅 | 106.09平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
精装修 四叶草户型 南北通 中间楼层 税少,https://hz.lianjia.com/ershoufang/103133787208.html,东旭府 ,义桥,"16,817元/平",198万,4室2厅 | 117.74平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,2024-08-01 22:59:28
房东已看好新房 常规低价诚心出售 满二 大阳台次新房,https://hz.lianjia.com/ershoufang/103125266806.html,融信杭州世纪 ,萧山新城区,"45,253元/平",580万,4室2厅 | 128.17平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,2024-08-01 22:59:28
朝闻花城 南卧品质楼盘 滨江精装修 大三房诚心出售！,https://hz.lianjia.com/ershoufang/103129868404.html,朝闻花城 ,南部卧城,"27,662元/平",265万,3室2厅 | 95.8平米 | 南 | 精装 | 27层  | 暂无数据,2024-08-01 22:59:28
朝阳地铁口300米，滨江开发商，品质小区，精装交付,https://hz.lianjia.com/ershoufang/103132358271.html,朝闻花城 ,南部卧城,"29,094元/平",280万,3室2厅 | 96.24平米 | 南 | 精装 | 27层  | 塔楼,2024-08-01 22:59:28
六楼精装修房子双北干业主诚心出售,https://hz.lianjia.com/ershoufang/103132819874.html,山阴小区 ,萧山市区,"26,936元/平",119万,2室1厅 | 44.18平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
为了卖房，租客已经清空，钥匙在手随时看房,https://hz.lianjia.com/ershoufang/103127948489.html,众安朝阳8号 ,南部卧城,"24,924元/平",219万,3室2厅 | 87.87平米 | 南 | 简装 | 33层  | 塔楼,2024-08-01 22:59:28
晴庐精装修中间套，高楼层视野采光好，业主诚心出售,https://hz.lianjia.com/ershoufang/103133610681.html,华瑞晴庐 ,萧山新城区,"31,298元/平",269万,3室2厅 | 85.95平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2024-08-01 22:59:28
房东诚心卖，楼层好，看房方便，湖景房，价格可谈。,https://hz.lianjia.com/ershoufang/103127148949.html,佳源.湘印府 ,义桥,"22,824元/平",205万,3室2厅 | 89.82平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,2024-08-01 22:59:28
城市总推荐：博奥城精装修三房 ，中间套户型,https://hz.lianjia.com/ershoufang/103122420890.html,德圣博奥城 ,萧山新城区,"35,161元/平",290万,3室2厅 | 82.48平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
近奥体！晴瑞里97方大三房 双阳台，诚心卖！价格可谈,https://hz.lianjia.com/ershoufang/103130080435.html,景瑞晴海 ,钱江世纪城,"27,398元/平",268万,3室2厅 | 97.82平米 | 南 北 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
奥体低总价 东边套 楼层好 产权清晰 房东诚心出售,https://hz.lianjia.com/ershoufang/103130128360.html,利一家园 ,钱江世纪城,"24,795元/平",259万,3室2厅 | 104.46平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,2024-08-01 22:59:28
5号线姑娘桥站300米，3房2卫中楼层，满五唯一，采光好,https://hz.lianjia.com/ershoufang/103131102697.html,得力名望府 ,萧山开发区,"20,646元/平",185万,3室2厅 | 89.61平米 | 南 | 简装 | 25层  | 板楼,2024-08-01 22:59:28
融创洋房 高品质住宅 精装修带地暖 轻轨口 户型好！,https://hz.lianjia.com/ershoufang/103129721498.html,融创云潮府 ,萧山科技城,"30,356元/平",370万,4室2厅 | 121.89平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,2024-08-01 22:59:28
滨江园林景观，漂亮绿植，自带泳池，环境很不错,https://hz.lianjia.com/ershoufang/103134534689.html,朝闻花城 ,南部卧城,"25,774元/平",280万,4室2厅 | 108.64平米 | 东南 | 精装 | 18层  | 暂无数据,2024-08-01 22:59:28
奥体洋房，前排无遮挡，随时看房，诚心出售！,https://hz.lianjia.com/ershoufang/103134575192.html,顺发美哉美城 ,钱江世纪城,"52,874元/平",438万,3室2厅 | 82.84平米 | 南 | 简装 | 14层  | 板楼,2024-08-01 22:59:28
多层精装好房，楼层南北通采光好,https://hz.lianjia.com/ershoufang/103133200843.html,美之园东区 ,湘湖,"20,604元/平",250万,3室2厅 | 121.34平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,2024-08-01 22:59:28
万科品牌、精装交付、全明3房户型、诚心出售,https://hz.lianjia.com/ershoufang/103133907194.html,云章映月华庭 ,萧山新城区,"39,388元/平",350万,3室2厅 | 88.86平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
招商开发 央企品质 市北地铁盘 业主诚售,https://hz.lianjia.com/ershoufang/103131693465.html,招商蛇口花屿观澜里 ,萧山新城区,"38,844元/平",399万,3室2厅 | 102.72平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2024-08-01 22:59:28
中高楼层 自住精装 三面朝南 满五唯一 诚心出售,https://hz.lianjia.com/ershoufang/103133179315.html,德圣博奥城 ,萧山新城区,"34,497元/平",265万,2室1厅 | 76.82平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 22:59:28
房东诚心出售，中高楼层，视野采光好，现代化精装修,https://hz.lianjia.com/ershoufang/103126967533.html,华瑞晴庐 ,萧山新城区,"31,105元/平",268万,3室2厅 | 86.16平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2024-08-01 22:59:28
高楼层 中间套 三居室 诚心卖 看不到公墓,https://hz.lianjia.com/ershoufang/103132063077.html,乐虹湾 ,湘湖,"37,905元/平",340万,3室1厅 | 89.7平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-01 22:59:28
户型好 诚心出售 15号线地铁口,https://hz.lianjia.com/ershoufang/103131385078.html,奥园 ,南部卧城,"25,858元/平",224万,3室2厅 | 86.63平米 | 南 | 简装 | 低楼层(共34层)  | 塔楼,2024-08-01 22:59:28
满二年，实用四房市北滨江品质小区，采光视野开阔,https://hz.lianjia.com/ershoufang/103133226113.html,庆丰拥涛府 ,萧山新城区,"40,337元/平",479万,4室2厅 | 118.75平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,2024-08-01 22:59:28
7号线地铁口此房满二唯一，精装修三开间朝南诚心出售,https://hz.lianjia.com/ershoufang/103131839797.html,中铁诺德雅逸府 ,萧山开发区,"22,812元/平",202万,3室2厅 | 88.55平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2024-08-01 22:59:28
奥体天璞，四叶草中高层，业主诚心出售。,https://hz.lianjia.com/ershoufang/103131544237.html,天璞御园 ,钱江世纪城,"68,667元/平",950万,4室2厅 | 138.35平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 22:59:28
小高层三房户型 客厅朝南带阳台 满五唯一 高楼层看江,https://hz.lianjia.com/ershoufang/103134007317.html,江南摩卡 ,闻堰,"21,477元/平",229万,3室2厅 | 106.63平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,2024-08-01 22:59:28
70年产权，此房近地铁，银河实验、北干,https://hz.lianjia.com/ershoufang/103130471059.html,中誉现代城 ,萧山新城区,"18,426元/平",99万,1室0厅 | 53.73平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,2024-08-01 22:59:28
龙湖春江悦茗 中高楼层 诚心出售,https://hz.lianjia.com/ershoufang/103132096145.html,龙湖旭辉春江悦茗 ,萧山新城区,"36,855元/平",299万,3室2厅 | 81.13平米 | 南 | 简装 | 30层  | 板塔结合,2024-08-01 22:59:28
西边套大阳台 精装修 西门口安静 采光好,https://hz.lianjia.com/ershoufang/103128100658.html,汝悦美境府 ,钱江世纪城,"30,454元/平",332万,3室2厅 | 109.02平米 | 南 | 精装 | 17层  | 板楼,2024-08-01 22:59:28
钱江世纪城 刚需三房 房东自住精装,https://hz.lianjia.com/ershoufang/103131438114.html,顺发康庄 ,钱江世纪城,"23,686元/平",210万,3室2厅 | 88.66平米 | 南 | 精装 | 29层  | 板楼,2024-08-01 22:59:28
7号线纯地铁口 阳光城开发 精装修四叶草四房，带露台,https://hz.lianjia.com/ershoufang/103126540165.html,博印名邸 ,萧山开发区,"24,352元/平",260万,4室2厅 | 106.77平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 22:59:28
3开间朝南，高楼层，采光好，自住装修，拎包入住,https://hz.lianjia.com/ershoufang/103126805035.html,金昌春和钱塘 ,钱江世纪城,"42,192元/平",365万,3室2厅 | 86.51平米 | 南 | 精装 | 23层  | 板塔结合,2024-08-01 22:59:28
精装南北通 全明户型 中上楼层 可看房,https://hz.lianjia.com/ershoufang/103130373342.html,碧桂园越溪府 ,临浦,"15,038元/平",208万,4室3厅 | 138.32平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2024-08-01 22:59:28
萧山科技城 总价低 满二唯一 税费少 中楼层 看房方便,https://hz.lianjia.com/ershoufang/103123329723.html,林之语 ,萧山科技城,"20,908元/平",152万,2室1厅 | 72.7平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2024-08-01 22:59:28
次新小区，一梯两户，纯边套，大横厅，自住精装,https://hz.lianjia.com/ershoufang/103134155022.html,东旭府 ,义桥,"18,377元/平",165万,3室2厅 | 89.79平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,2024-08-01 22:59:28
二五号双地铁 采光好 业主诚心卖，银河北干双 学府,https://hz.lianjia.com/ershoufang/103131929639.html,北干一苑 ,萧山市区,"25,970元/平",150万,2室1厅 | 57.76平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2024-08-01 22:59:28
上新房源，高楼层！有车位，纯毛坯，没有住过人！,https://hz.lianjia.com/ershoufang/103134586090.html,钱江蓝湾 ,萧山科技城,"22,494元/平",190万,3室1厅 | 84.47平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,2024-08-01 22:59:28
新街七号线地铁口，三室两厅两卫出售,https://hz.lianjia.com/ershoufang/103123476121.html,中铁诺德雅逸府 ,萧山开发区,"21,240元/平",185万,3室2厅 | 87.1平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,2024-08-01 22:59:28
此房楼层好 位置佳 采光充足 三房朝南带阳台,https://hz.lianjia.com/ershoufang/103112341307.html,三江花园(萧山) ,闻堰,"17,108元/平",220万,3室2厅 | 128.6平米 | 南 | 精装 | 低楼层(共19层)  | 板塔结合,2024-08-01 22:59:28
此房满满五唯一，边套横厅户型采光无遮挡精装,https://hz.lianjia.com/ershoufang/103131909735.html,博印名邸 ,萧山开发区,"28,229元/平",249万,3室2厅 | 88.21平米 | 南 | 精装 | 27层  | 板楼,2024-08-01 22:59:28
